timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,queue_length
1770751279,60.0,60.0,0.0,0.0,0
1770751279,7550.0,7550.0,0.1,0.04239,13
1770751280,1314.0,1314.0,0.13,0.000133,16
1770751280,1408.0,1408.0,0.087,0.000129,18
1770751281,1410.0,1410.0,0.045,0.000135,19
1770751281,1532.0,1532.0,0.08,9.6e-05,21
1770751282,1326.0,1326.0,0.048,0.000191,22
1770751282,1328.0,1328.0,0.091,0.000133,24
1770751283,1510.0,1510.0,0.0,0.000129,24
1770751283,1202.0,1202.0,0.1,0.000134,26
1770751284,1392.0,1392.0,0.045,0.000272,27
1770751284,1212.0,1212.0,0.136,0.000151,30
1770751285,1466.0,1466.0,0.0,0.000114,30
1770751286,1302.0,1302.0,0.091,0.000141,32
1770751286,1472.0,1472.0,0.043,0.000144,33
1770751287,1398.0,1398.0,0.045,0.000142,34
1770751287,1330.0,1330.0,0.091,0.000167,36
1770751288,1524.0,1524.0,0.0,0.000165,36
1770751288,1384.0,1384.0,0.045,0.000182,37
1770751289,1376.0,1376.0,0.045,0.00034,38
1770751289,1470.0,1470.0,0.0,0.000153,38
1770751290,1322.0,1322.0,0.091,0.000207,40
1770751290,1452.0,1452.0,0.043,0.00031,41
1770751291,1414.0,1414.0,0.083,0.000133,43
1770751291,1424.0,1424.0,0.083,0.000164,45
1770751292,1308.0,1308.0,0.167,0.000222,49
1770751292,1338.0,1338.0,0.13,0.000437,52
1770751293,1192.0,1192.0,0.217,0.000293,57
1770751293,1242.0,1242.0,0.136,0.000115,60
1770751294,1396.0,1396.0,0.087,0.000167,62
1770751294,1504.0,1504.0,0.042,0.000122,63
1770751295,1248.0,1248.0,0.174,0.000124,67
1770751295,1180.0,1180.0,0.217,0.000161,72
1770751296,1436.0,1436.0,0.043,0.00012,73
1770751296,1382.0,1382.0,0.043,9.5e-05,74
1770751297,1146.0,1146.0,0.182,0.000145,78
1770751297,1376.0,1376.0,0.045,0.000145,79
1770751298,1256.0,1256.0,0.136,0.000171,82
1770751298,1324.0,1324.0,0.091,0.000124,84
1770751299,928.0,928.0,0.333,0.000142,91
1770751299,1336.0,1336.0,0.167,0.000161,95
1770751300,1356.0,1356.0,0.13,0.000169,98
1770751300,1366.0,1366.0,0.13,0.000221,101
1770751301,1432.0,1432.0,0.045,0.000577,102
1770751301,1364.0,1364.0,0.091,0.000156,104
1770751302,1344.0,1344.0,0.091,0.000138,106
1770751302,1256.0,1256.0,0.136,0.000117,109
1770751303,1600.0,1600.0,0.0,0.00017,109
1770751304,1332.0,1332.0,0.208,0.00013,114
1770751304,1296.0,1296.0,0.05,0.000219,115
1770751305,1296.0,1296.0,0.095,0.00018,117
1770751305,1304.0,1304.0,0.174,0.000641,121
1770751306,1152.0,1152.0,0.19,0.000267,125
1770751306,1216.0,1216.0,0.143,0.000106,128
1770751307,1368.0,1368.0,0.091,0.00015,130
1770751307,1290.0,1290.0,0.208,0.000174,135
1770751308,1332.0,1332.0,0.091,0.000163,137
1770751308,1436.0,1436.0,0.087,0.00022,139
1770751309,1534.0,1534.0,0.043,0.000402,140
1770751309,8320.0,8320.0,0.076,0.041161,150
1770751310,1296.0,1296.0,0.174,0.000184,154
