seq,send_time,recv_time,heart_rate,label,delay
1,1770751279.2872198,1770751279.3377342,87,NORMAL,0.05051445960998535
3,1770751279.3248687,1770751279.3752575,67,NORMAL,0.05038881301879883
4,1770751279.3475444,1770751279.398053,76,NORMAL,0.05050849914550781
6,1770751279.3902853,1770751279.4407601,82,NORMAL,0.05047488212585449
7,1770751279.4138162,1770751279.4642413,82,NORMAL,0.050425052642822266
8,1770751279.4377255,1770751279.4881387,81,NORMAL,0.05041313171386719
9,1770751279.459888,1770751279.5101411,129,CRITICAL,0.05025315284729004
10,1770751279.48178,1770751279.5322363,119,ALERT,0.05045628547668457
11,1770751279.5050755,1770751279.5554733,120,ALERT,0.05039787292480469
12,1770751279.5270503,1770751279.5775912,130,CRITICAL,0.050540924072265625
13,1770751279.5439677,1770751279.594178,116,ALERT,0.05021023750305176
14,1770751279.5642385,1770751279.6145272,117,ALERT,0.05028867721557617
15,1770751279.5898094,1770751279.6402142,122,CRITICAL,0.05040478706359863
16,1770751279.6126032,1770751279.6630223,111,ALERT,0.05041909217834473
17,1770751279.6337833,1770751277.224913,119,ALERT,-2.4088704586029053
18,1770751279.6542747,1770751277.246588,119,ALERT,-2.407686710357666
19,1770751277.2171392,1770751277.2691228,127,CRITICAL,0.05198359489440918
20,1770751277.2392519,1770751277.2896035,121,CRITICAL,0.050351619720458984
21,1770751277.258232,1770751277.310142,127,CRITICAL,0.0519099235534668
22,1770751277.2782443,1770751277.3290658,120,ALERT,0.050821542739868164
23,1770751277.3046522,1770751277.3548405,110,ALERT,0.050188302993774414
24,1770751277.3271449,1770751277.3777163,118,ALERT,0.050571441650390625
25,1770751277.3518696,1770751277.4024885,119,ALERT,0.050618886947631836
26,1770751277.3782701,1770751277.4290004,118,ALERT,0.050730228424072266
27,1770751277.3974497,1770751277.4478695,111,ALERT,0.05041980743408203
28,1770751277.4199896,1770751277.4708388,112,ALERT,0.050849199295043945
29,1770751277.4410598,1770751277.4917083,119,ALERT,0.05064845085144043
30,1770751277.4656403,1770751277.5163484,112,ALERT,0.05070805549621582
31,1770751277.4904253,1770751277.5408804,121,CRITICAL,0.05045509338378906
32,1770751277.5181124,1770751277.5685294,110,ALERT,0.05041694641113281
33,1770751277.5395691,1770751277.590393,110,ALERT,0.05082392692565918
34,1770751277.5614195,1770751277.6117048,111,ALERT,0.05028533935546875
35,1770751277.5819345,1770751277.6326156,110,ALERT,0.050681114196777344
36,1770751277.6050906,1770751277.6557906,110,ALERT,0.05069994926452637
37,1770751277.628924,1770751277.6791768,116,ALERT,0.05025291442871094
38,1770751277.6515174,1770751277.7024279,125,CRITICAL,0.05091047286987305
39,1770751277.6745849,1770751277.7250235,113,ALERT,0.050438642501831055
40,1770751277.6947038,1770751277.7455873,123,CRITICAL,0.05088353157043457
41,1770751277.7172534,1770751277.7677193,119,ALERT,0.05046582221984863
42,1770751277.7378862,1770751277.7885973,127,CRITICAL,0.05071115493774414
43,1770751277.7608032,1770751277.8110187,120,ALERT,0.05021548271179199
45,1770751277.8058517,1770751277.8563132,118,ALERT,0.050461530685424805
46,1770751277.8222501,1770751277.8728423,111,ALERT,0.05059218406677246
