seq,timestamp,heart_rate,label
1,1770749715.122321,66,NORMAL
2,1770749715.1426835,67,NORMAL
3,1770749715.1614017,60,NORMAL
4,1770749715.1784773,86,NORMAL
5,1770749715.201755,81,NORMAL
6,1770749715.2227836,86,NORMAL
7,1770749715.2395833,78,NORMAL
8,1770749715.262865,88,NORMAL
9,1770749715.2854912,75,NORMAL
10,1770749715.303351,82,NORMAL
11,1770749715.323949,81,NORMAL
12,1770749715.3466063,111,ALERT
13,1770749715.3678768,121,CRITICAL
14,1770749715.3899574,120,ALERT
15,1770749715.4066834,123,CRITICAL
16,1770749715.430359,112,ALERT
17,1770749715.4483373,114,ALERT
18,1770749715.468442,116,ALERT
19,1770749715.4966316,126,CRITICAL
20,1770749715.5157094,122,CRITICAL
21,1770749715.5346847,128,CRITICAL
22,1770749715.5559518,112,ALERT
23,1770749715.5745993,127,CRITICAL
24,1770749715.595881,123,CRITICAL
25,1770749715.6189077,111,ALERT
26,1770749715.6403131,113,ALERT
27,1770749715.663714,115,ALERT
28,1770749715.6848972,118,ALERT
29,1770749715.708382,125,CRITICAL
30,1770749715.732454,119,ALERT
31,1770749715.754693,112,ALERT
32,1770749715.7794843,113,ALERT
33,1770749715.8034222,122,CRITICAL
34,1770749715.822958,122,CRITICAL
35,1770749715.8450353,112,ALERT
36,1770749715.8674924,130,CRITICAL
37,1770749715.8919287,115,ALERT
38,1770749715.9155173,118,ALERT
39,1770749715.935102,110,ALERT
40,1770749715.9587705,125,CRITICAL
41,1770749715.982729,121,CRITICAL
42,1770749716.0084982,128,CRITICAL
43,1770749716.0339544,117,ALERT
44,1770749716.060707,126,CRITICAL
45,1770749716.0872939,130,CRITICAL
46,1770749716.1144366,114,ALERT
47,1770749716.151104,116,ALERT
48,1770749716.1782632,130,CRITICAL
49,1770749716.2045784,122,CRITICAL
50,1770749716.2227263,111,ALERT
51,1770749716.2459786,119,ALERT
52,1770749716.2707546,113,ALERT
53,1770749716.298456,122,CRITICAL
54,1770749716.320722,121,CRITICAL
55,1770749716.3456063,120,ALERT
56,1770749716.367125,128,CRITICAL
57,1770749716.3826356,114,ALERT
58,1770749716.4053204,115,ALERT
59,1770749716.4315207,127,CRITICAL
60,1770749716.4553158,114,ALERT
61,1770749716.478359,128,CRITICAL
62,1770749716.5071282,120,ALERT
63,1770749716.5306988,128,CRITICAL
64,1770749716.555844,124,CRITICAL
65,1770749716.5774498,110,ALERT
66,1770749716.603887,122,CRITICAL
67,1770749716.627413,128,CRITICAL
68,1770749716.6543677,122,CRITICAL
69,1770749716.6755986,117,ALERT
70,1770749716.6987107,111,ALERT
71,1770749716.7221832,119,ALERT
72,1770749716.749061,114,ALERT
73,1770749716.772119,129,CRITICAL
74,1770749716.796131,115,ALERT
75,1770749716.818313,127,CRITICAL
76,1770749716.8377452,114,ALERT
77,1770749716.8587599,128,CRITICAL
78,1770749716.8811138,119,ALERT
79,1770749716.906555,129,CRITICAL
80,1770749716.929877,114,ALERT
81,1770749716.9523697,117,ALERT
82,1770749716.9763908,111,ALERT
83,1770749716.9996994,122,CRITICAL
84,1770749717.0220146,129,CRITICAL
85,1770749717.0452187,112,ALERT
86,1770749717.068104,119,ALERT
87,1770749717.088836,122,CRITICAL
88,1770749717.1112542,114,ALERT
89,1770749717.134128,129,CRITICAL
90,1770749717.1539688,114,ALERT
91,1770749717.174957,118,ALERT
92,1770749717.1998222,122,CRITICAL
93,1770749717.2242877,123,CRITICAL
94,1770749717.245786,130,CRITICAL
95,1770749717.2668865,113,ALERT
96,1770749717.2876198,114,ALERT
97,1770749717.311198,123,CRITICAL
98,1770749717.3318443,114,ALERT
99,1770749717.355607,118,ALERT
100,1770749717.376217,127,CRITICAL
101,1770749717.3946786,125,CRITICAL
102,1770749717.4155798,118,ALERT
103,1770749717.4359286,123,CRITICAL
104,1770749717.4574752,124,CRITICAL
105,1770749717.4786952,112,ALERT
106,1770749717.4982688,121,CRITICAL
107,1770749717.5236678,110,ALERT
108,1770749717.543055,115,ALERT
109,1770749717.5659542,126,CRITICAL
110,1770749717.5912557,112,ALERT
111,1770749717.6170661,128,CRITICAL
112,1770749717.6414983,114,ALERT
113,1770749717.6630197,127,CRITICAL
114,1770749717.6869283,114,ALERT
115,1770749717.713147,125,CRITICAL
116,1770749717.73813,113,ALERT
117,1770749717.7635813,110,ALERT
118,1770749717.7880926,125,CRITICAL
119,1770749717.807376,118,ALERT
120,1770749717.832081,125,CRITICAL
121,1770749717.8582802,115,ALERT
122,1770749717.8788104,126,CRITICAL
123,1770749717.906731,122,CRITICAL
124,1770749717.9231117,114,ALERT
125,1770749717.9389539,123,CRITICAL
126,1770749717.9628117,121,CRITICAL
127,1770749717.9884844,124,CRITICAL
128,1770749718.0156136,110,ALERT
129,1770749718.040027,114,ALERT
130,1770749718.064977,129,CRITICAL
131,1770749718.0871181,129,CRITICAL
132,1770749718.1107802,126,CRITICAL
133,1770749718.1367447,116,ALERT
134,1770749718.1573172,115,ALERT
135,1770749718.180301,113,ALERT
136,1770749718.2066774,121,CRITICAL
137,1770749718.2292373,113,ALERT
138,1770749718.2523785,114,ALERT
139,1770749718.2682595,113,ALERT
140,1770749718.2826083,118,ALERT
141,1770749718.3091655,128,CRITICAL
142,1770749718.3360798,127,CRITICAL
143,1770749718.3598447,112,ALERT
144,1770749718.3838496,129,CRITICAL
145,1770749718.4140258,116,ALERT
146,1770749718.4392607,127,CRITICAL
147,1770749718.462627,121,CRITICAL
148,1770749718.4823484,123,CRITICAL
149,1770749718.504189,112,ALERT
150,1770749718.5322623,111,ALERT
151,1770749718.5546377,122,CRITICAL
152,1770749718.577816,113,ALERT
153,1770749718.6019974,119,ALERT
154,1770749718.6259878,130,CRITICAL
155,1770749718.6530905,120,ALERT
156,1770749718.6810687,126,CRITICAL
