timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,queue_length
1770183533,33.0,33.0,0.0,0.0,0
1770183534,631.0,631.0,0.0,3e-05,0
1770183535,616.0,616.0,0.0,2.2e-05,0
1770183536,616.0,616.0,0.0,0.000349,0
1770183537,596.0,596.0,0.0,5.5e-05,0
1770183538,593.0,593.0,0.0,2.5e-05,0
1770183539,592.0,592.0,0.0,4.1e-05,0
1770183540,653.0,653.0,0.0,5.1e-05,0
1770183541,656.0,656.0,0.0,4.9e-05,0
1770183542,611.0,611.0,0.0,0.000295,0
1770183543,616.0,616.0,0.0,0.000131,0
1770183544,611.0,611.0,0.0,0.000172,0
1770183545,627.0,627.0,0.0,0.000265,0
1770183546,635.0,635.0,0.0,5.3e-05,0
1770183547,624.0,624.0,0.0,2.3e-05,0
1770183548,621.0,621.0,0.0,5e-05,0
1770183549,621.0,621.0,0.0,0.000122,0
1770183550,597.0,597.0,0.0,8.4e-05,0
1770183551,610.0,610.0,0.0,0.000609,0
1770183552,659.0,659.0,0.0,9.2e-05,0
1770183553,646.0,646.0,0.0,2.2e-05,0
1770183554,651.0,651.0,0.0,1.9e-05,0
1770183555,660.0,660.0,0.0,0.000184,0
