timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition
1774956995.078,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774956995.333,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774956995.58,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774956995.835,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774956996.083,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774956996.336,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774956996.587,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774956996.829,7680.0,7680.0,0.0,0.04738,0.205096,8,30,Stable
1774956997.079,22784.0,22784.0,0.0,0.111934,0.331447,4,89,Stable
1774956997.333,22528.0,22528.0,0.0,0.122485,0.467536,4,88,Stable
1774956997.58,22272.0,22272.0,0.0,0.167918,0.428329,4,87,Stable
1774956997.83,23040.0,23040.0,0.0,0.20286,0.428327,7,90,Stable
1774956998.083,22784.0,22784.0,0.0,0.136879,0.407626,4,89,Stable
1774956998.336,22272.0,22272.0,0.0,0.27602,0.536968,4,87,Stable
1774956998.578,22272.0,22272.0,0.0,0.379902,0.500158,4,87,Stable
1774956998.828,21760.0,21760.0,0.0,1.592314,2.408549,6,85,Stable
1774956999.078,24832.0,24832.0,0.0,4.516584,23.653303,5,97,Stable
1774956999.331,25088.0,24320.0,0.030612,3.69721,24.35315,4,98,Unstable
1774956999.584,26624.0,24576.0,0.076923,5.124266,24.388261,4,104,Unstable
1774956999.83,24064.0,24064.0,0.0,3.630001,24.068115,5,94,Stable
1774957000.079,27136.0,24576.0,0.09434,4.523538,24.365567,6,106,Critical
1774957000.333,25856.0,24576.0,0.049505,3.597418,23.957893,4,101,Unstable
1774957000.578,25856.0,24064.0,0.069307,4.046024,24.817178,4,101,Unstable
1774957000.83,26368.0,24320.0,0.07767,4.422479,25.384998,5,103,Unstable
1774957001.078,26880.0,25344.0,0.057143,4.480913,23.744511,6,105,Unstable
1774957001.33,25600.0,24320.0,0.05,4.595694,24.585041,4,100,Unstable
1774957001.578,25856.0,24320.0,0.059406,3.777489,24.190883,4,101,Unstable
1774957001.828,25344.0,25088.0,0.010101,4.046632,23.692537,5,99,Stable
1774957002.078,25088.0,24064.0,0.040816,4.547094,24.532491,6,98,Unstable
1774957002.334,26368.0,25344.0,0.038835,4.118727,23.312186,4,103,Unstable
1774957002.578,25088.0,24064.0,0.040816,4.206711,24.159959,4,98,Unstable
1774957002.83,25856.0,24320.0,0.059406,3.677205,24.423464,5,101,Unstable
1774957003.081,26624.0,25088.0,0.057692,3.894745,23.735521,6,104,Unstable
1774957003.328,26368.0,24064.0,0.087379,4.697216,23.739574,4,103,Critical
1774957003.578,25600.0,25088.0,0.02,4.715834,24.410827,4,100,Stable
1774957003.828,26368.0,24320.0,0.07767,4.424873,24.341387,5,103,Unstable
1774957004.08,25856.0,25344.0,0.019802,4.443157,24.685484,6,101,Stable
1774957004.329,25088.0,24320.0,0.030612,4.021261,24.381038,4,98,Unstable
1774957004.578,25344.0,24576.0,0.030303,4.476572,24.471126,4,99,Unstable
1774957004.831,25856.0,24320.0,0.059406,4.797687,24.21621,5,101,Unstable
1774957005.078,25856.0,24576.0,0.049505,4.594112,23.730541,6,101,Unstable
1774957005.328,27136.0,25344.0,0.066038,5.124229,23.763534,4,106,Unstable
1774957005.582,27392.0,24576.0,0.102804,4.537903,24.093434,4,107,Critical
1774957005.83,25856.0,25344.0,0.019802,4.233864,24.429516,5,101,Stable
1774957006.082,25088.0,24576.0,0.020408,4.009719,24.533155,6,98,Stable
1774957006.331,24576.0,24064.0,0.020833,3.868494,25.033433,4,96,Stable
1774957006.58,26880.0,25088.0,0.066667,4.24297,23.995779,4,105,Unstable
1774957006.833,26624.0,24832.0,0.067308,4.015124,23.86994,5,104,Unstable
1774957007.08,27136.0,24832.0,0.084906,5.338819,24.318135,6,106,Critical
1774957007.329,24832.0,24064.0,0.030928,4.239722,23.888078,4,97,Unstable
1774957007.578,24832.0,23808.0,0.041237,4.453182,24.277197,4,97,Unstable
1774957007.829,25600.0,24832.0,0.03,4.127028,24.355082,5,100,Unstable
1774957008.083,26368.0,25856.0,0.019417,4.408945,24.293026,6,103,Stable
1774957008.328,26880.0,24320.0,0.095238,4.450698,24.385743,4,105,Critical
1774957008.581,27392.0,25088.0,0.084112,4.219593,24.131904,4,107,Critical
1774957008.829,25856.0,24832.0,0.039604,4.062151,23.925698,5,101,Unstable
1774957009.079,26112.0,25344.0,0.029412,3.889361,23.63406,6,102,Stable
1774957009.328,25856.0,24320.0,0.059406,4.295984,23.730142,4,101,Unstable
1774957009.582,25856.0,24832.0,0.039604,4.094018,23.887475,4,101,Unstable
1774957009.829,26368.0,23808.0,0.097087,4.577191,22.902109,4,103,Critical
1774957010.086,25600.0,25088.0,0.02,4.166708,24.96044,7,100,Stable
1774957010.331,25088.0,23296.0,0.071429,4.61133,23.918364,4,98,Unstable
1774957010.583,24832.0,24064.0,0.030928,4.069841,24.359061,4,97,Unstable
1774957010.83,26368.0,24576.0,0.067961,4.88248,24.524155,5,103,Unstable
1774957011.079,24320.0,24064.0,0.010526,3.939243,24.799266,6,95,Stable
1774957011.333,26112.0,25088.0,0.039216,4.165187,24.167698,4,102,Unstable
1774957011.579,25344.0,24576.0,0.030303,3.718967,24.228041,4,99,Unstable
1774957011.834,27392.0,24576.0,0.102804,4.681254,24.39409,4,107,Critical
1774957012.086,27392.0,25344.0,0.074766,4.385072,24.079949,7,107,Unstable
1774957012.329,23552.0,23296.0,0.01087,4.067298,25.095636,4,92,Stable
1774957012.581,24064.0,23552.0,0.021277,4.541034,24.643175,4,94,Stable
1774957012.831,25344.0,24320.0,0.040404,4.140465,24.476819,4,99,Unstable
1774957013.079,24576.0,24064.0,0.020833,4.138307,23.863075,7,96,Stable
1774957013.331,25856.0,24064.0,0.069307,4.321776,24.736612,4,101,Unstable
1774957013.583,23808.0,23552.0,0.010753,4.172753,23.843112,4,93,Stable
1774957013.83,25088.0,24064.0,0.040816,4.795934,23.563418,4,98,Unstable
1774957014.079,25088.0,23552.0,0.061224,4.804642,23.277117,7,98,Unstable
1774957014.331,24832.0,24064.0,0.030928,4.090375,24.267993,4,97,Unstable
1774957014.578,24576.0,24064.0,0.020833,4.193154,23.822893,4,96,Stable
1774957014.83,25088.0,24320.0,0.030612,4.353082,24.247011,4,98,Unstable
1774957015.078,25344.0,24832.0,0.020202,4.341843,24.243234,7,99,Stable
1774957015.332,25600.0,25088.0,0.02,3.970662,23.453024,4,100,Stable
1774957015.584,26880.0,24576.0,0.085714,3.983088,23.780192,4,105,Critical
1774957015.829,25344.0,24064.0,0.050505,3.923693,24.155825,4,99,Unstable
1774957016.079,27392.0,24832.0,0.093458,4.990098,23.780926,7,107,Critical
1774957016.329,27392.0,24576.0,0.102804,5.179775,24.267929,4,107,Critical
1774957016.582,27136.0,24576.0,0.09434,4.741644,24.251282,4,106,Critical
1774957016.831,27136.0,24576.0,0.09434,7.064472,27.734657,4,106,Critical
1774957017.078,26368.0,24832.0,0.058252,4.236976,23.896227,7,103,Unstable
1774957017.33,26368.0,24576.0,0.067961,4.245085,24.152632,4,103,Unstable
1774957017.579,26624.0,24832.0,0.067308,4.173426,24.124251,4,104,Unstable
1774957017.831,26880.0,24832.0,0.07619,4.327912,24.446178,4,105,Unstable
1774957018.078,25856.0,24832.0,0.039604,4.271952,23.885629,7,101,Unstable
1774957018.333,26112.0,25088.0,0.039216,4.604534,24.660651,4,102,Unstable
1774957018.581,27136.0,24832.0,0.084906,4.885779,24.562246,4,106,Critical
1774957018.828,25344.0,24320.0,0.040404,4.103277,24.092875,4,99,Unstable
1774957019.079,30720.0,21504.0,0.3,11.193826,51.973553,7,120,Critical
1774957019.329,35072.0,24576.0,0.29927,11.102753,52.643013,4,137,Critical
1774957019.585,36608.0,23552.0,0.356643,12.556574,56.420316,4,143,Critical
1774957019.828,35840.0,23040.0,0.357143,12.069254,57.19471,4,140,Critical
1774957020.079,40448.0,24064.0,0.405063,15.592015,56.910119,7,158,Critical
1774957020.33,33536.0,21760.0,0.351145,11.604559,55.977931,4,131,Critical
1774957020.578,38656.0,23808.0,0.384106,14.150576,55.214108,4,151,Critical
1774957020.834,40192.0,22784.0,0.433121,14.985355,56.861283,4,157,Critical
1774957021.08,39680.0,23040.0,0.419355,14.198555,55.484804,7,155,Critical
1774957021.329,40704.0,24576.0,0.396226,14.168243,55.284634,4,159,Critical
1774957021.583,34304.0,22272.0,0.350746,11.644528,55.244492,4,134,Critical
1774957021.829,39168.0,23296.0,0.405229,13.239939,55.848515,4,153,Critical
1774957022.079,38400.0,25344.0,0.34,12.493008,55.615413,7,150,Critical
1774957022.331,37120.0,23296.0,0.372414,12.642274,55.38729,4,145,Critical
1774957022.578,39168.0,23552.0,0.398693,14.2019,54.013187,4,153,Critical
1774957022.828,36096.0,24064.0,0.333333,10.267352,54.361818,4,141,Critical
1774957023.079,38144.0,24064.0,0.369128,13.482342,54.451131,7,149,Critical
1774957023.333,39168.0,22272.0,0.431373,14.709582,54.654245,4,153,Critical
1774957023.588,38400.0,23552.0,0.386667,11.905613,56.101965,4,150,Critical
1774957023.832,35072.0,22528.0,0.357664,11.612998,55.288001,4,137,Critical
1774957024.079,39936.0,25344.0,0.365385,12.470604,54.01448,7,156,Critical
1774957024.329,37888.0,23552.0,0.378378,12.942864,56.214765,4,148,Critical
1774957024.58,34048.0,23040.0,0.323308,10.920342,57.260913,4,133,Critical
1774957024.828,41984.0,25600.0,0.390244,14.28314,56.366892,4,164,Critical
1774957025.081,37888.0,25088.0,0.337838,11.272793,55.319518,7,148,Critical
1774957025.338,40704.0,24064.0,0.408805,14.007875,53.852873,4,159,Critical
1774957025.581,41216.0,24064.0,0.416149,13.171051,55.871286,4,161,Critical
1774957025.833,38656.0,23808.0,0.384106,12.700314,56.345837,4,151,Critical
1774957026.079,37632.0,23808.0,0.367347,12.311095,55.657187,6,147,Critical
1774957026.328,39424.0,23296.0,0.409091,14.622594,54.733829,5,154,Critical
1774957026.578,37632.0,23296.0,0.380952,12.247458,55.538018,4,147,Critical
1774957026.828,34048.0,23296.0,0.315789,12.874396,54.852121,4,133,Critical
1774957027.079,40704.0,24832.0,0.389937,13.550601,55.454947,8,159,Critical
1774957027.329,38400.0,23808.0,0.38,12.959129,54.615849,4,150,Critical
1774957027.58,36608.0,22784.0,0.377622,13.352627,53.495562,4,143,Critical
1774957027.833,35328.0,23552.0,0.333333,11.78305,55.099378,4,138,Critical
1774957028.087,38912.0,25600.0,0.342105,12.942071,54.131787,7,152,Critical
1774957028.329,39168.0,21760.0,0.444444,15.582705,55.322512,4,153,Critical
1774957028.578,35328.0,23296.0,0.34058,11.793737,55.765351,4,138,Critical
1774957028.83,40960.0,24320.0,0.40625,14.692633,57.404842,4,160,Critical
1774957029.078,35072.0,22784.0,0.350365,12.413724,55.66316,7,137,Critical
1774957029.331,34560.0,23552.0,0.318519,11.296925,55.441693,4,135,Critical
1774957029.58,37888.0,24832.0,0.344595,12.3851,55.693835,4,148,Critical
1774957029.828,37376.0,22272.0,0.40411,13.262447,55.513867,4,146,Critical
1774957030.082,40960.0,24832.0,0.39375,13.833624,55.144745,7,160,Critical
1774957030.328,37376.0,23040.0,0.383562,12.833693,56.98554,4,146,Critical
1774957030.583,42496.0,23808.0,0.439759,14.372803,55.760663,4,166,Critical
1774957030.829,34816.0,23296.0,0.330882,12.050553,54.634904,4,136,Critical
1774957031.078,38912.0,23808.0,0.388158,14.51682,57.214158,6,152,Critical
1774957031.332,40192.0,24320.0,0.394904,13.562546,53.974701,5,157,Critical
1774957031.578,37632.0,23040.0,0.387755,13.265644,55.347157,4,147,Critical
1774957031.829,37120.0,23808.0,0.358621,12.111125,55.299369,4,145,Critical
1774957032.08,32512.0,22016.0,0.322835,11.946498,56.39102,6,127,Critical
1774957032.329,41728.0,24320.0,0.417178,15.059167,55.343329,5,163,Critical
1774957032.578,42496.0,24320.0,0.427711,15.587511,56.396663,4,166,Critical
1774957032.829,34816.0,23040.0,0.338235,11.331224,55.824343,4,136,Critical
1774957033.081,40192.0,24320.0,0.394904,14.693649,54.376449,6,157,Critical
1774957033.329,40704.0,23808.0,0.415094,15.422701,55.315912,5,159,Critical
1774957033.58,41216.0,23296.0,0.434783,15.490183,53.333199,4,161,Critical
1774957033.832,37120.0,24320.0,0.344828,11.976179,55.673301,4,145,Critical
1774957034.078,35072.0,23040.0,0.343066,10.97317,52.929881,6,137,Critical
1774957034.329,38400.0,23808.0,0.38,12.908433,53.791477,5,150,Critical
1774957034.581,41984.0,23808.0,0.432927,14.608158,54.024658,4,164,Critical
1774957034.828,41216.0,24320.0,0.409938,14.957247,54.076109,4,161,Critical
1774957035.08,33792.0,22784.0,0.325758,10.964067,56.454345,6,132,Critical
1774957035.328,37632.0,24576.0,0.346939,11.604704,55.430301,5,147,Critical
1774957035.578,38400.0,24320.0,0.366667,13.340483,54.862467,4,150,Critical
1774957035.829,36608.0,23296.0,0.363636,11.91615,57.072639,4,143,Critical
1774957036.079,33536.0,23296.0,0.305344,11.443439,55.90776,6,131,Critical
1774957036.33,38400.0,24320.0,0.366667,13.345076,56.327787,5,150,Critical
1774957036.58,35584.0,23296.0,0.345324,11.703973,55.101798,4,139,Critical
1774957036.831,41728.0,24576.0,0.411043,14.749254,55.463741,4,163,Critical
1774957037.078,36352.0,23808.0,0.34507,12.191762,53.596035,5,142,Critical
1774957037.328,42240.0,24320.0,0.424242,14.93719,56.851979,5,165,Critical
1774957037.579,39424.0,24832.0,0.37013,12.656765,54.348103,4,154,Critical
1774957037.828,35072.0,23296.0,0.335766,11.220138,55.61641,4,137,Critical
1774957038.079,35584.0,23808.0,0.330935,12.485655,55.007709,6,139,Critical
1774957038.328,37888.0,23808.0,0.371622,12.758906,54.664799,5,148,Critical
1774957038.579,37120.0,23552.0,0.365517,12.906559,56.762338,4,145,Critical
1774957038.834,39168.0,24832.0,0.366013,12.878836,55.053379,4,153,Critical
1774957039.081,18432.0,11520.0,0.375,14.341852,59.849554,4,72,Critical
1774957039.33,57856.0,16384.0,0.716814,62.4245,219.692357,6,226,Critical
1774957039.58,112384.0,24064.0,0.785877,80.690579,231.964652,5,439,Critical
1774957039.83,78080.0,17920.0,0.770492,63.834834,211.458812,4,305,Critical
1774957040.079,102400.0,23040.0,0.775,71.101067,223.240611,4,400,Critical
1774957040.333,79104.0,20224.0,0.744337,64.953149,223.897276,6,309,Critical
1774957040.585,87552.0,20480.0,0.766082,67.756519,234.031492,5,342,Critical
1774957040.831,89088.0,20992.0,0.764368,67.695821,224.222736,4,348,Critical
1774957041.078,88832.0,21248.0,0.760807,62.809743,221.904194,4,347,Critical
1774957041.329,93440.0,23040.0,0.753425,64.097651,221.690509,4,365,Critical
1774957041.579,84992.0,21248.0,0.75,60.707552,222.437876,5,332,Critical
1774957041.828,91392.0,21504.0,0.764706,66.440151,227.115921,4,357,Critical
1774957042.079,87808.0,21248.0,0.758017,65.65337,230.621375,5,343,Critical
1774957042.33,93440.0,21504.0,0.769863,67.687421,227.511593,5,365,Critical
1774957042.581,84480.0,20224.0,0.760606,61.955014,218.776425,4,330,Critical
1774957042.831,90368.0,20736.0,0.770538,68.172069,222.672445,4,353,Critical
1774957043.078,93184.0,21760.0,0.766484,66.214396,223.31743,4,364,Critical
1774957043.328,91392.0,20224.0,0.778711,74.696499,227.015284,7,357,Critical
1774957043.582,85248.0,22272.0,0.738739,59.497041,230.496294,4,333,Critical
1774957043.829,82432.0,19456.0,0.763975,67.584621,227.774052,4,322,Critical
1774957044.078,86272.0,22528.0,0.738872,57.124745,226.161179,4,337,Critical
1774957044.328,91904.0,22528.0,0.754875,63.951422,227.93128,7,359,Critical
1774957044.58,90880.0,22784.0,0.749296,57.609467,232.440327,4,355,Critical
1774957044.831,79360.0,20992.0,0.735484,54.167157,235.693513,4,310,Critical
1774957045.078,100864.0,19968.0,0.80203,82.104139,219.584685,4,394,Critical
1774957045.331,81152.0,20480.0,0.747634,67.810759,231.556761,7,317,Critical
1774957045.581,94720.0,20224.0,0.786486,71.221681,223.523644,4,370,Critical
1774957045.828,87296.0,21248.0,0.756598,65.894156,222.622909,4,341,Critical
1774957046.083,83456.0,20736.0,0.751534,64.010738,222.321657,4,326,Critical
1774957046.336,86016.0,20992.0,0.755952,65.392157,230.594164,5,336,Critical
1774957046.58,94208.0,19712.0,0.790761,81.431962,224.040035,5,368,Critical
1774957046.829,74240.0,19712.0,0.734483,54.976463,230.845783,4,290,Critical
1774957047.083,98560.0,21504.0,0.781818,76.115253,216.051244,4,385,Critical
1774957047.329,102656.0,22016.0,0.785536,76.48796,220.606166,7,401,Critical
1774957047.578,84736.0,18944.0,0.776435,68.389119,228.404151,4,331,Critical
1774957047.832,86272.0,20992.0,0.756677,62.912697,227.203718,4,337,Critical
1774957048.079,90624.0,20736.0,0.771186,68.503403,233.535199,4,354,Critical
1774957048.329,83712.0,20992.0,0.749235,60.73085,227.914325,6,327,Critical
1774957048.579,90624.0,22016.0,0.757062,66.442864,219.947723,5,354,Critical
1774957048.837,99072.0,21504.0,0.782946,73.410406,233.678903,4,387,Critical
1774957049.079,115200.0,22016.0,0.808889,86.745492,216.831371,5,450,Critical
1774957049.328,94208.0,19712.0,0.790761,77.79257,231.205959,5,368,Critical
1774957049.581,104704.0,21760.0,0.792176,78.947185,233.31344,5,409,Critical
1774957049.828,91392.0,20736.0,0.773109,66.862983,230.570281,4,357,Critical
1774957050.082,81664.0,18176.0,0.777429,68.49301,223.807463,4,319,Critical
1774957050.328,99584.0,22528.0,0.773779,73.960209,233.58878,6,389,Critical
1774957050.578,109056.0,23808.0,0.78169,75.800309,228.877832,5,426,Critical
1774957050.828,81152.0,19968.0,0.753943,56.751924,215.469868,4,317,Critical
