
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[WARN] joblib unavailable; using heuristic predictor.
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.21ms jitter=0.05ms devices=8
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.33ms jitter=0.11ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.47ms jitter=0.12ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.43ms jitter=0.17ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.43ms jitter=0.20ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.41ms jitter=0.14ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.54ms jitter=0.28ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.50ms jitter=0.38ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=2.41ms jitter=1.59ms devices=6
[PREDICT] source=heuristic state=Stable loss=0.00% delay=23.65ms jitter=4.52ms devices=5
[PREDICT] source=heuristic state=Unstable loss=3.06% delay=24.35ms jitter=3.70ms devices=4
[PREDICT] source=heuristic state=Unstable loss=7.69% delay=24.39ms jitter=5.12ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=24.07ms jitter=3.63ms devices=5
[PREDICT] source=heuristic state=Critical loss=9.43% delay=24.37ms jitter=4.52ms devices=6
[PREDICT] source=heuristic state=Unstable loss=4.95% delay=23.96ms jitter=3.60ms devices=4
[PREDICT] source=heuristic state=Unstable loss=6.93% delay=24.82ms jitter=4.05ms devices=4
[PREDICT] source=heuristic state=Unstable loss=7.77% delay=25.38ms jitter=4.42ms devices=5
[PREDICT] source=heuristic state=Unstable loss=5.71% delay=23.74ms jitter=4.48ms devices=6
[PREDICT] source=heuristic state=Unstable loss=5.00% delay=24.59ms jitter=4.60ms devices=4
[PREDICT] source=heuristic state=Unstable loss=5.94% delay=24.19ms jitter=3.78ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.01% delay=23.69ms jitter=4.05ms devices=5
[PREDICT] source=heuristic state=Unstable loss=4.08% delay=24.53ms jitter=4.55ms devices=6
[PREDICT] source=heuristic state=Unstable loss=3.88% delay=23.31ms jitter=4.12ms devices=4
[PREDICT] source=heuristic state=Unstable loss=4.08% delay=24.16ms jitter=4.21ms devices=4
[PREDICT] source=heuristic state=Unstable loss=5.94% delay=24.42ms jitter=3.68ms devices=5
[PREDICT] source=heuristic state=Unstable loss=5.77% delay=23.74ms jitter=3.89ms devices=6
[PREDICT] source=heuristic state=Critical loss=8.74% delay=23.74ms jitter=4.70ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.00% delay=24.41ms jitter=4.72ms devices=4
[PREDICT] source=heuristic state=Unstable loss=7.77% delay=24.34ms jitter=4.42ms devices=5
[PREDICT] source=heuristic state=Stable loss=1.98% delay=24.69ms jitter=4.44ms devices=6
[PREDICT] source=heuristic state=Unstable loss=3.06% delay=24.38ms jitter=4.02ms devices=4
[PREDICT] source=heuristic state=Unstable loss=3.03% delay=24.47ms jitter=4.48ms devices=4
[PREDICT] source=heuristic state=Unstable loss=5.94% delay=24.22ms jitter=4.80ms devices=5
[PREDICT] source=heuristic state=Unstable loss=4.95% delay=23.73ms jitter=4.59ms devices=6
[PREDICT] source=heuristic state=Unstable loss=6.60% delay=23.76ms jitter=5.12ms devices=4
[PREDICT] source=heuristic state=Critical loss=10.28% delay=24.09ms jitter=4.54ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.98% delay=24.43ms jitter=4.23ms devices=5
[PREDICT] source=heuristic state=Stable loss=2.04% delay=24.53ms jitter=4.01ms devices=6
[PREDICT] source=heuristic state=Stable loss=2.08% delay=25.03ms jitter=3.87ms devices=4
[PREDICT] source=heuristic state=Unstable loss=6.67% delay=24.00ms jitter=4.24ms devices=4
[PREDICT] source=heuristic state=Unstable loss=6.73% delay=23.87ms jitter=4.02ms devices=5
[PREDICT] source=heuristic state=Critical loss=8.49% delay=24.32ms jitter=5.34ms devices=6
[PREDICT] source=heuristic state=Unstable loss=3.09% delay=23.89ms jitter=4.24ms devices=4
[PREDICT] source=heuristic state=Unstable loss=4.12% delay=24.28ms jitter=4.45ms devices=4
[PREDICT] source=heuristic state=Unstable loss=3.00% delay=24.36ms jitter=4.13ms devices=5
[PREDICT] source=heuristic state=Stable loss=1.94% delay=24.29ms jitter=4.41ms devices=6
[PREDICT] source=heuristic state=Critical loss=9.52% delay=24.39ms jitter=4.45ms devices=4
[PREDICT] source=heuristic state=Critical loss=8.41% delay=24.13ms jitter=4.22ms devices=4
[PREDICT] source=heuristic state=Unstable loss=3.96% delay=23.93ms jitter=4.06ms devices=5
[PREDICT] source=heuristic state=Stable loss=2.94% delay=23.63ms jitter=3.89ms devices=6
[PREDICT] source=heuristic state=Unstable loss=5.94% delay=23.73ms jitter=4.30ms devices=4
[PREDICT] source=heuristic state=Unstable loss=3.96% delay=23.89ms jitter=4.09ms devices=4
[PREDICT] source=heuristic state=Critical loss=9.71% delay=22.90ms jitter=4.58ms devices=4
[Receiver] Elapsed: 0m 15s | Rows:    60 | Status: Running
[PREDICT] source=heuristic state=Stable loss=2.00% delay=24.96ms jitter=4.17ms devices=7
[PREDICT] source=heuristic state=Unstable loss=7.14% delay=23.92ms jitter=4.61ms devices=4
[PREDICT] source=heuristic state=Unstable loss=3.09% delay=24.36ms jitter=4.07ms devices=4
[PREDICT] source=heuristic state=Unstable loss=6.80% delay=24.52ms jitter=4.88ms devices=5
[PREDICT] source=heuristic state=Stable loss=1.05% delay=24.80ms jitter=3.94ms devices=6
[PREDICT] source=heuristic state=Unstable loss=3.92% delay=24.17ms jitter=4.17ms devices=4
[PREDICT] source=heuristic state=Unstable loss=3.03% delay=24.23ms jitter=3.72ms devices=4
[PREDICT] source=heuristic state=Critical loss=10.28% delay=24.39ms jitter=4.68ms devices=4
[PREDICT] source=heuristic state=Unstable loss=7.48% delay=24.08ms jitter=4.39ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.09% delay=25.10ms jitter=4.07ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.13% delay=24.64ms jitter=4.54ms devices=4
[PREDICT] source=heuristic state=Unstable loss=4.04% delay=24.48ms jitter=4.14ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.08% delay=23.86ms jitter=4.14ms devices=7
[PREDICT] source=heuristic state=Unstable loss=6.93% delay=24.74ms jitter=4.32ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.08% delay=23.84ms jitter=4.17ms devices=4
[PREDICT] source=heuristic state=Unstable loss=4.08% delay=23.56ms jitter=4.80ms devices=4
[PREDICT] source=heuristic state=Unstable loss=6.12% delay=23.28ms jitter=4.80ms devices=7
[PREDICT] source=heuristic state=Unstable loss=3.09% delay=24.27ms jitter=4.09ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.08% delay=23.82ms jitter=4.19ms devices=4
[PREDICT] source=heuristic state=Unstable loss=3.06% delay=24.25ms jitter=4.35ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.02% delay=24.24ms jitter=4.34ms devices=7
[PREDICT] source=heuristic state=Stable loss=2.00% delay=23.45ms jitter=3.97ms devices=4
[PREDICT] source=heuristic state=Critical loss=8.57% delay=23.78ms jitter=3.98ms devices=4
[PREDICT] source=heuristic state=Unstable loss=5.05% delay=24.16ms jitter=3.92ms devices=4
[PREDICT] source=heuristic state=Critical loss=9.35% delay=23.78ms jitter=4.99ms devices=7
[PREDICT] source=heuristic state=Critical loss=10.28% delay=24.27ms jitter=5.18ms devices=4
[PREDICT] source=heuristic state=Critical loss=9.43% delay=24.25ms jitter=4.74ms devices=4
[PREDICT] source=heuristic state=Critical loss=9.43% delay=27.73ms jitter=7.06ms devices=4
[PREDICT] source=heuristic state=Unstable loss=5.83% delay=23.90ms jitter=4.24ms devices=7
[PREDICT] source=heuristic state=Unstable loss=6.80% delay=24.15ms jitter=4.25ms devices=4
[PREDICT] source=heuristic state=Unstable loss=6.73% delay=24.12ms jitter=4.17ms devices=4
[PREDICT] source=heuristic state=Unstable loss=7.62% delay=24.45ms jitter=4.33ms devices=4
[PREDICT] source=heuristic state=Unstable loss=3.96% delay=23.89ms jitter=4.27ms devices=7
[PREDICT] source=heuristic state=Unstable loss=3.92% delay=24.66ms jitter=4.60ms devices=4
[PREDICT] source=heuristic state=Critical loss=8.49% delay=24.56ms jitter=4.89ms devices=4
[PREDICT] source=heuristic state=Unstable loss=4.04% delay=24.09ms jitter=4.10ms devices=4
[PREDICT] source=heuristic state=Critical loss=30.00% delay=51.97ms jitter=11.19ms devices=7
[PREDICT] source=heuristic state=Critical loss=29.93% delay=52.64ms jitter=11.10ms devices=4
[PREDICT] source=heuristic state=Critical loss=35.66% delay=56.42ms jitter=12.56ms devices=4
[PREDICT] source=heuristic state=Critical loss=35.71% delay=57.19ms jitter=12.07ms devices=4
[PREDICT] source=heuristic state=Critical loss=40.51% delay=56.91ms jitter=15.59ms devices=7
