
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[Receiver] Semantic drain log : /mnt/c/Users/archi/OneDrive/Desktop/Sem 6/PE/AI-Native-Semantic-Network-Control-for-Remote-Healthcare-Traffic/outputs/evaluation/baseline_natural_20260510_113738/semantic_drain.csv
[MODEL] Model loading disabled by environment variable; using heuristic predictor.
[Receiver] Loaded semantic decoder for ECG
[Receiver] Loaded semantic decoder for BloodPressure
[Receiver] SpO2: no semantic model — raw-only path
[Receiver] SpO2: no semantic model — raw-only path
[Receiver] Temperature: no semantic model — raw-only path
[Receiver] Respiration: no semantic model — raw-only path
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.16ms jitter=0.05ms devices=8
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.20ms jitter=0.12ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.19ms jitter=0.13ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.18ms jitter=0.09ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.15ms jitter=0.04ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.19ms jitter=0.09ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.15ms jitter=0.06ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=4.95ms jitter=1.48ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.30ms jitter=2.63ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.23ms jitter=2.43ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.41ms jitter=2.57ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.05% delay=12.38ms jitter=2.40ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.96ms jitter=1.95ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.93ms jitter=1.80ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.96ms jitter=2.52ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.49ms jitter=1.79ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.17ms jitter=1.65ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.89ms jitter=1.80ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.72ms jitter=2.25ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.28ms jitter=2.37ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.19ms jitter=2.32ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.38ms jitter=2.35ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.31ms jitter=1.95ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.53ms jitter=1.92ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.00% delay=12.32ms jitter=2.23ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.34ms jitter=2.36ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.22ms jitter=2.02ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.39ms jitter=2.27ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.02% delay=12.39ms jitter=2.56ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.77ms jitter=2.40ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.04ms jitter=2.33ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.00ms jitter=2.08ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.01% delay=12.26ms jitter=2.11ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.44ms jitter=2.34ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.44ms jitter=2.13ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.57ms jitter=2.15ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.09ms jitter=2.28ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.05% delay=12.37ms jitter=2.21ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.03% delay=12.16ms jitter=2.23ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.13ms jitter=2.25ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.12ms jitter=2.21ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.21ms jitter=2.47ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.57ms jitter=2.35ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.17ms jitter=2.20ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.01% delay=12.02ms jitter=2.30ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.05% delay=12.64ms jitter=2.48ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.03% delay=12.59ms jitter=2.23ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.69ms jitter=2.31ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.28ms jitter=2.13ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.39ms jitter=2.25ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.19ms jitter=2.39ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.94ms jitter=2.41ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.28ms jitter=2.24ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.06% delay=12.45ms jitter=2.22ms devices=4
[Receiver] Elapsed: 0m 15s | Rows:    60 | Status: Running
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.33ms jitter=2.16ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.49ms jitter=2.27ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.40ms jitter=1.89ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.38ms jitter=2.43ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.18ms jitter=2.26ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.95ms jitter=2.06ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.64ms jitter=2.58ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.05% delay=12.39ms jitter=2.55ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.05% delay=12.37ms jitter=2.08ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.04% delay=12.38ms jitter=2.25ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.01% delay=12.54ms jitter=2.64ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.91ms jitter=2.54ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.13ms jitter=2.53ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.17ms jitter=2.15ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.75ms jitter=1.95ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.96ms jitter=2.35ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.87ms jitter=2.20ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.77ms jitter=1.91ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.97ms jitter=2.05ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.04% delay=11.90ms jitter=2.20ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.15ms jitter=1.89ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.06% delay=11.64ms jitter=2.20ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.68ms jitter=1.95ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.04ms jitter=2.13ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.74ms jitter=2.12ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.04% delay=12.04ms jitter=2.35ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.79ms jitter=2.01ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.14ms jitter=1.83ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.11ms jitter=2.00ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.75ms jitter=1.84ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.90ms jitter=1.78ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.49ms jitter=2.08ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.99ms jitter=2.04ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.08% delay=11.98ms jitter=1.73ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.29ms jitter=1.82ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.80ms jitter=1.86ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.18ms jitter=2.25ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.09ms jitter=2.03ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.01% delay=12.17ms jitter=2.19ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.99ms jitter=2.19ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.92ms jitter=1.98ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.83ms jitter=2.01ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.68ms jitter=2.07ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.82ms jitter=2.11ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.38ms jitter=1.81ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.00ms jitter=2.06ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.08ms jitter=2.61ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.68ms jitter=1.96ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.04% delay=12.85ms jitter=2.50ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.89ms jitter=2.43ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.00% delay=13.05ms jitter=2.16ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.01ms jitter=1.96ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.05% delay=13.42ms jitter=2.42ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.13ms jitter=2.23ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.51ms jitter=2.05ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.85ms jitter=2.32ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.83ms jitter=2.66ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.11% delay=13.16ms jitter=2.14ms devices=4
[PREDICT] source=heuristic state=Unstable loss=0.00% delay=4.73ms jitter=18.80ms devices=7
