timestamp,network_state,health_state,command,latency_ms,consecutive_windows
1774958217.343724,Stable,UNKNOWN,FULL_ECG,503.76,2
1774958220.338229,Stable,CRITICAL,SEMANTIC_CRITICAL,502.066,14
1774958221.591914,Stable,UNKNOWN,FULL_ECG,502.302,4
1774958222.834332,Stable,CRITICAL,SEMANTIC_CRITICAL,1251.004,9
1774958237.586602,Stable,ALERT,FULL_ECG_PRIORITY,502.68,2
1774958238.586909,Stable,CRITICAL,SEMANTIC_CRITICAL,502.003,1
1774958298.339661,Critical,ALERT,SEMANTIC_ALERT,503.026,234
1774958301.337642,Stable,UNKNOWN,FULL_ECG,502.028,2
1774958302.338689,Unstable,CRITICAL,SEMANTIC_CRITICAL,1003.491,1
1774958319.090707,Unstable,ALERT,SEMANTIC_ALERT,502.236,1
1774958320.340586,Stable,UNKNOWN,FULL_ECG,754.067,5
1774958321.588723,Critical,ALERT,SEMANTIC_ALERT,1253.661,5
1774958323.589775,Stable,UNKNOWN,FULL_ECG,501.598,2
1774958324.841338,Critical,CRITICAL,SEMANTIC_CRITICAL,1252.068,5
1774958336.835742,Critical,ALERT,SEMANTIC_ALERT,502.474,53
1774958338.0915,Stable,UNKNOWN,FULL_ECG,503.112,2
1774958339.336396,Critical,ALERT,SEMANTIC_ALERT,1253.444,5
1774958341.343513,Critical,CRITICAL,SEMANTIC_CRITICAL,502.177,1
1774958347.839284,Stable,ALERT,FULL_ECG_PRIORITY,503.902,10
1774958349.0865,Stable,CRITICAL,SEMANTIC_CRITICAL,1253.431,4
1774958367.842821,Critical,ALERT,SEMANTIC_ALERT,502.774,31
1774958369.345419,Stable,UNKNOWN,FULL_ECG,503.922,2
1774958370.59269,Critical,ALERT,SEMANTIC_ALERT,1253.646,5
1774958371.840129,Stable,UNKNOWN,FULL_ECG,504.168,2
1774958373.102576,Critical,CRITICAL,SEMANTIC_CRITICAL,1262.455,5
1774958392.34041,Critical,ALERT,SEMANTIC_ALERT,504.12,82
1774958393.593541,Stable,UNKNOWN,FULL_ECG,504.518,2
1774958394.83609,Critical,CRITICAL,SEMANTIC_CRITICAL,1001.764,5
