timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition
1774958215.088,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958215.335,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958215.583,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958215.842,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958216.089,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958216.337,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958216.584,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958216.843,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958217.09,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958217.34,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958217.591,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958217.839,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958218.085,22272.0,22272.0,0.0,0.03975,0.160985,8,87,Stable
1774958218.333,24576.0,24576.0,0.0,0.06263,0.201362,4,96,Stable
1774958218.583,24832.0,24832.0,0.0,0.063387,0.2021,4,97,Stable
1774958218.834,25088.0,25088.0,0.0,0.053795,0.187884,4,98,Stable
1774958219.088,25600.0,25600.0,0.0,0.053325,0.182576,7,100,Stable
1774958219.337,24576.0,24576.0,0.0,0.055867,0.225221,4,96,Stable
1774958219.585,24576.0,24576.0,0.0,0.058686,0.182038,4,96,Stable
1774958219.835,25088.0,25088.0,0.0,0.051491,0.168647,4,98,Stable
1774958220.087,23552.0,23296.0,0.01087,3.48001,17.526202,7,92,Stable
1774958220.336,25344.0,25088.0,0.010101,2.57395,18.097418,4,99,Stable
1774958220.588,3072.0,2560.0,0.166667,3.424978,18.842888,4,12,Critical
1774958220.836,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958221.087,768.0,768.0,0.0,3.228664,19.224405,2,2,Stable
1774958221.333,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958221.59,0.0,0.0,0.0,0.0,0.0,0,0,Stable
1774958221.833,21248.0,21248.0,0.0,2.917123,18.100176,4,83,Stable
1774958222.091,26368.0,25856.0,0.019417,2.589762,18.394779,7,103,Stable
1774958222.333,24576.0,24576.0,0.0,2.969583,17.555438,4,96,Stable
1774958222.583,25344.0,25344.0,0.0,2.627329,18.111503,4,99,Stable
1774958222.833,25088.0,25088.0,0.0,3.01607,18.056456,4,98,Stable
1774958223.088,20224.0,20224.0,0.0,2.710921,17.865015,6,56,Stable
1774958223.338,18432.0,18432.0,0.0,2.523104,18.421526,2,48,Stable
1774958223.583,18432.0,18432.0,0.0,3.686537,18.130143,2,48,Stable
1774958223.835,18816.0,18816.0,0.0,2.790072,18.498406,2,49,Stable
1774958224.091,19968.0,19200.0,0.038462,3.412776,18.75597,4,52,Unstable
1774958224.333,19200.0,18816.0,0.02,3.266957,18.092335,2,50,Stable
1774958224.591,18816.0,18816.0,0.0,2.620507,18.204767,2,49,Stable
1774958224.833,18048.0,18048.0,0.0,2.87792,18.48653,2,47,Stable
1774958225.083,22656.0,22656.0,0.0,2.615686,18.50017,5,59,Stable
1774958225.336,28416.0,28416.0,0.0,2.744668,18.924684,3,74,Stable
1774958225.584,28032.0,28032.0,0.0,3.152478,18.311994,3,73,Stable
1774958225.835,27264.0,27264.0,0.0,3.095566,18.346669,3,71,Stable
1774958226.085,28800.0,28800.0,0.0,2.920834,18.425268,5,75,Stable
1774958226.338,28416.0,27648.0,0.027027,2.979474,18.06578,3,74,Stable
1774958226.584,27648.0,27648.0,0.0,2.252314,18.176532,3,72,Stable
1774958226.84,28416.0,28032.0,0.013514,2.800533,18.164498,3,74,Stable
1774958227.085,28800.0,28800.0,0.0,3.239975,18.376137,5,75,Stable
1774958227.336,28032.0,28032.0,0.0,2.730036,18.495027,3,73,Stable
1774958227.589,28416.0,28032.0,0.013514,2.906587,17.433532,3,74,Stable
1774958227.834,27648.0,27648.0,0.0,3.07358,18.607977,3,72,Stable
1774958228.084,29568.0,28800.0,0.025974,2.829361,17.966792,5,77,Stable
1774958228.334,28416.0,28032.0,0.013514,2.721715,18.108283,3,74,Stable
1774958228.583,28416.0,27264.0,0.040541,2.766398,18.189665,3,74,Unstable
1774958228.833,24192.0,23424.0,0.031746,2.751116,18.243516,3,63,Unstable
1774958229.084,20736.0,20736.0,0.0,2.877553,17.795479,5,54,Stable
1774958229.334,18816.0,18816.0,0.0,2.641415,18.05702,2,49,Stable
1774958229.585,20352.0,19584.0,0.037736,3.493328,18.641832,3,53,Unstable
1774958229.836,26112.0,26112.0,0.0,2.646839,18.587326,3,68,Stable
1774958230.086,23424.0,23424.0,0.0,3.029671,18.41696,5,61,Stable
1774958230.333,21120.0,20352.0,0.036364,3.474595,18.749044,3,55,Unstable
1774958230.587,29184.0,29184.0,0.0,3.138985,18.047766,3,76,Stable
1774958230.835,28800.0,28032.0,0.026667,2.766064,18.135087,3,75,Stable
1774958231.084,34560.0,34560.0,0.0,3.20944,17.962032,6,90,Stable
1774958231.336,38784.0,37632.0,0.029703,3.343947,18.578452,4,101,Stable
1774958231.583,37248.0,37248.0,0.0,2.832039,18.51438,4,97,Stable
1774958231.834,37632.0,37632.0,0.0,2.76297,18.014708,4,98,Stable
1774958232.085,38400.0,38016.0,0.01,3.071973,18.14093,6,100,Stable
1774958232.337,37248.0,37248.0,0.0,3.314244,17.931319,4,97,Stable
1774958232.589,38400.0,37632.0,0.02,2.768054,18.115474,4,100,Stable
1774958232.833,37248.0,36480.0,0.020619,2.637853,18.59938,4,97,Stable
1774958233.085,38400.0,37632.0,0.02,2.971987,18.556412,6,100,Stable
1774958233.34,38016.0,38016.0,0.0,2.719246,18.0073,4,99,Stable
1774958233.588,36480.0,36096.0,0.010526,2.726737,17.757971,4,95,Stable
1774958233.835,37632.0,37632.0,0.0,2.686498,18.642834,4,98,Stable
1774958234.083,38400.0,38016.0,0.01,2.866225,18.451118,6,100,Stable
1774958234.334,37248.0,36864.0,0.010309,2.933095,18.186659,4,97,Stable
1774958234.583,36864.0,36864.0,0.0,2.590361,18.324569,4,96,Stable
1774958234.834,37248.0,36864.0,0.010309,2.821267,18.414045,4,97,Stable
1774958235.083,38016.0,38016.0,0.0,2.931561,18.362676,6,99,Stable
1774958235.334,36864.0,36864.0,0.0,2.884438,18.502685,4,96,Stable
1774958235.589,37632.0,37632.0,0.0,2.466596,18.351672,4,98,Stable
1774958235.834,36864.0,36864.0,0.0,2.983647,18.317992,4,96,Stable
1774958236.084,37632.0,37632.0,0.0,2.764179,18.252548,6,98,Stable
1774958236.333,28416.0,28416.0,0.0,2.894553,18.01273,4,74,Stable
1774958236.583,29568.0,28800.0,0.025974,2.638674,18.713347,3,77,Stable
1774958236.839,29184.0,28416.0,0.026316,3.253879,18.615288,3,76,Stable
