
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[WARN] joblib unavailable; using heuristic predictor.
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.16ms jitter=0.04ms devices=8
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.20ms jitter=0.06ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.20ms jitter=0.06ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.19ms jitter=0.05ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.18ms jitter=0.05ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.23ms jitter=0.06ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.18ms jitter=0.06ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.17ms jitter=0.05ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.09% delay=17.53ms jitter=3.48ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.01% delay=18.10ms jitter=2.57ms devices=4
[PREDICT] source=heuristic state=Critical loss=16.67% delay=18.84ms jitter=3.42ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=19.22ms jitter=3.23ms devices=2
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=0.00ms jitter=0.00ms devices=0
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.10ms jitter=2.92ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.94% delay=18.39ms jitter=2.59ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=17.56ms jitter=2.97ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.11ms jitter=2.63ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.06ms jitter=3.02ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=17.87ms jitter=2.71ms devices=6
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.42ms jitter=2.52ms devices=2
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.13ms jitter=3.69ms devices=2
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.50ms jitter=2.79ms devices=2
[PREDICT] source=heuristic state=Unstable loss=3.85% delay=18.76ms jitter=3.41ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.00% delay=18.09ms jitter=3.27ms devices=2
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.20ms jitter=2.62ms devices=2
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.49ms jitter=2.88ms devices=2
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.50ms jitter=2.62ms devices=5
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.92ms jitter=2.74ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.31ms jitter=3.15ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.35ms jitter=3.10ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.43ms jitter=2.92ms devices=5
[PREDICT] source=heuristic state=Stable loss=2.70% delay=18.07ms jitter=2.98ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.18ms jitter=2.25ms devices=3
[PREDICT] source=heuristic state=Stable loss=1.35% delay=18.16ms jitter=2.80ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.38ms jitter=3.24ms devices=5
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.50ms jitter=2.73ms devices=3
[PREDICT] source=heuristic state=Stable loss=1.35% delay=17.43ms jitter=2.91ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.61ms jitter=3.07ms devices=3
[PREDICT] source=heuristic state=Stable loss=2.60% delay=17.97ms jitter=2.83ms devices=5
[PREDICT] source=heuristic state=Stable loss=1.35% delay=18.11ms jitter=2.72ms devices=3
[PREDICT] source=heuristic state=Unstable loss=4.05% delay=18.19ms jitter=2.77ms devices=3
[PREDICT] source=heuristic state=Unstable loss=3.17% delay=18.24ms jitter=2.75ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=17.80ms jitter=2.88ms devices=5
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.06ms jitter=2.64ms devices=2
[PREDICT] source=heuristic state=Unstable loss=3.77% delay=18.64ms jitter=3.49ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.59ms jitter=2.65ms devices=3
[Receiver] Elapsed: 0m 15s | Rows:    60 | Status: Running
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.42ms jitter=3.03ms devices=5
[PREDICT] source=heuristic state=Unstable loss=3.64% delay=18.75ms jitter=3.47ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.05ms jitter=3.14ms devices=3
[PREDICT] source=heuristic state=Stable loss=2.67% delay=18.14ms jitter=2.77ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=17.96ms jitter=3.21ms devices=6
[PREDICT] source=heuristic state=Stable loss=2.97% delay=18.58ms jitter=3.34ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.51ms jitter=2.83ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.01ms jitter=2.76ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.00% delay=18.14ms jitter=3.07ms devices=6
[PREDICT] source=heuristic state=Stable loss=0.00% delay=17.93ms jitter=3.31ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.00% delay=18.12ms jitter=2.77ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.06% delay=18.60ms jitter=2.64ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.00% delay=18.56ms jitter=2.97ms devices=6
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.01ms jitter=2.72ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.05% delay=17.76ms jitter=2.73ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.64ms jitter=2.69ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.00% delay=18.45ms jitter=2.87ms devices=6
[PREDICT] source=heuristic state=Stable loss=1.03% delay=18.19ms jitter=2.93ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.32ms jitter=2.59ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.03% delay=18.41ms jitter=2.82ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.36ms jitter=2.93ms devices=6
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.50ms jitter=2.88ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.35ms jitter=2.47ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.32ms jitter=2.98ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.25ms jitter=2.76ms devices=6
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.01ms jitter=2.89ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.60% delay=18.71ms jitter=2.64ms devices=3
[PREDICT] source=heuristic state=Stable loss=2.63% delay=18.62ms jitter=3.25ms devices=3
[PREDICT] source=heuristic state=Unstable loss=5.33% delay=18.33ms jitter=4.02ms devices=5
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.45ms jitter=3.10ms devices=2
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.51ms jitter=2.69ms devices=2
[PREDICT] source=heuristic state=Stable loss=0.90% delay=18.24ms jitter=2.45ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.60% delay=17.77ms jitter=2.90ms devices=7
[PREDICT] source=heuristic state=Unstable loss=4.03% delay=18.28ms jitter=2.99ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.67% delay=18.22ms jitter=2.80ms devices=4
[PREDICT] source=heuristic state=Critical loss=8.06% delay=17.95ms jitter=3.52ms devices=6
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.50ms jitter=2.86ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.31ms jitter=3.16ms devices=3
[PREDICT] source=heuristic state=Stable loss=2.04% delay=18.25ms jitter=2.97ms devices=3
[PREDICT] source=heuristic state=Stable loss=0.00% delay=18.02ms jitter=3.33ms devices=5
[PREDICT] source=heuristic state=Critical loss=38.10% delay=59.42ms jitter=17.24ms devices=3
[PREDICT] source=heuristic state=Critical loss=46.38% delay=80.94ms jitter=18.48ms devices=3
