[WARD] Listening on 0.0.0.0:5006
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=503.8ms, windows=2, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=502.1ms, windows=14, debounce=2)
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=502.3ms, windows=4, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=1251.0ms, windows=9, debounce=5)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=502.7ms, windows=2, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=502.0ms, windows=1, debounce=2)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=503.0ms, windows=234, debounce=2)
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=502.0ms, windows=2, debounce=2)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=1003.5ms, windows=1, debounce=4)
[WARD CMD] Unstable/ALERT -> SEMANTIC_ALERT (latency=502.2ms, windows=1, debounce=2)
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=754.1ms, windows=5, debounce=3)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=1253.7ms, windows=5, debounce=5)
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=501.6ms, windows=2, debounce=2)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_CRITICAL (latency=1252.1ms, windows=5, debounce=5)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=502.5ms, windows=53, debounce=2)
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=503.1ms, windows=2, debounce=2)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=1253.4ms, windows=5, debounce=5)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_CRITICAL (latency=502.2ms, windows=1, debounce=2)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=503.9ms, windows=10, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=1253.4ms, windows=4, debounce=5)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=502.8ms, windows=31, debounce=2)
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=503.9ms, windows=2, debounce=2)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=1253.6ms, windows=5, debounce=5)
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=504.2ms, windows=2, debounce=2)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_CRITICAL (latency=1262.5ms, windows=5, debounce=5)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=504.1ms, windows=82, debounce=2)
[WARD CMD] Stable/UNKNOWN -> FULL_ECG (latency=504.5ms, windows=2, debounce=2)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_CRITICAL (latency=1001.8ms, windows=5, debounce=4)
