timestamp,network_state,health_state,command,latency_ms,consecutive_windows,fusion_state,deterioration_prob
1778418855.101852,Stable,NORMAL,FULL_ECG,251.857,1,UNKNOWN,
1778418857.352017,Stable,NORMAL,SEMANTIC_SUMMARY,254.811,10,UNKNOWN,
1778418857.85456,Stable,NORMAL,FULL_ECG,507.142,12,UNKNOWN,
1778418858.598668,Stable,NORMAL,SEMANTIC_SUMMARY,505.927,15,UNKNOWN,
1778418859.354567,Stable,NORMAL,FULL_ECG,757.697,18,UNKNOWN,
1778418860.094405,Stable,NORMAL,SEMANTIC_SUMMARY,502.552,21,UNKNOWN,
1778418860.598319,Stable,NORMAL,FULL_ECG,504.832,23,UNKNOWN,
1778418861.350325,Stable,NORMAL,SEMANTIC_SUMMARY,257.485,26,UNKNOWN,
1778418861.85857,Stable,NORMAL,FULL_ECG,508.032,28,UNKNOWN,
1778418863.094023,Stable,NORMAL,SEMANTIC_SUMMARY,252.477,33,UNKNOWN,
1778418863.606622,Stable,NORMAL,FULL_ECG,507.87,35,UNKNOWN,
1778418864.851161,Unstable,NORMAL,DOWNSAMPLED_ECG,258.469,1,UNKNOWN,
1778418865.606399,Stable,NORMAL,FULL_ECG,756.362,3,UNKNOWN,
1778418866.345245,Stable,NORMAL,SEMANTIC_SUMMARY,753.015,6,UNKNOWN,
1778418866.85102,Stable,NORMAL,FULL_ECG,505.613,8,UNKNOWN,
1778418867.859384,Unstable,NORMAL,DOWNSAMPLED_ECG,266.942,1,UNKNOWN,
1778418868.602445,Stable,CRITICAL,SEMANTIC_CRITICAL,255.801,3,UNKNOWN,
1778418872.103267,Stable,CRITICAL,SEMANTIC_SUMMARY,259.139,7,UNKNOWN,
1778418872.855765,Stable,CRITICAL,SEMANTIC_CRITICAL,754.509,10,UNKNOWN,
1778418874.861794,Stable,CRITICAL,SEMANTIC_SUMMARY,265.753,18,UNKNOWN,
1778418875.606667,Stable,CRITICAL,SEMANTIC_CRITICAL,757.355,21,UNKNOWN,
1778418876.59421,Stable,CRITICAL,SEMANTIC_SUMMARY,252.579,25,UNKNOWN,
1778418877.104948,Stable,CRITICAL,SEMANTIC_CRITICAL,505.852,27,UNKNOWN,
1778418877.850409,Stable,ALERT,FULL_ECG_PRIORITY,256.211,30,UNKNOWN,
1778418878.594421,Stable,ALERT,SEMANTIC_SUMMARY,252.038,33,UNKNOWN,
1778418879.099959,Stable,ALERT,FULL_ECG_PRIORITY,503.449,35,UNKNOWN,
1778418879.849707,Stable,ALERT,SEMANTIC_SUMMARY,505.872,38,UNKNOWN,
1778418880.61063,Stable,ALERT,FULL_ECG_PRIORITY,759.981,41,UNKNOWN,
1778418881.597879,Stable,NORMAL,SEMANTIC_SUMMARY,252.806,45,UNKNOWN,
1778418882.102505,Stable,NORMAL,FULL_ECG,506.904,47,UNKNOWN,
1778418882.846525,Stable,NORMAL,SEMANTIC_SUMMARY,252.36,50,UNKNOWN,
1778418883.354251,Stable,NORMAL,FULL_ECG,502.546,52,UNKNOWN,
1778418884.602754,Stable,NORMAL,SEMANTIC_SUMMARY,255.063,57,UNKNOWN,
1778418885.35456,Stable,NORMAL,FULL_ECG,755.176,60,UNKNOWN,
1778418886.350602,Stable,NORMAL,SEMANTIC_SUMMARY,257.047,64,UNKNOWN,
1778418887.11035,Stable,NORMAL,FULL_ECG,759.297,67,UNKNOWN,
1778418887.845887,Stable,NORMAL,SEMANTIC_SUMMARY,253.798,70,UNKNOWN,
1778418888.354365,Stable,NORMAL,FULL_ECG,504.15,72,UNKNOWN,
1778418889.593865,Stable,NORMAL,SEMANTIC_SUMMARY,252.119,77,UNKNOWN,
1778418890.346801,Stable,NORMAL,FULL_ECG,752.22,80,UNKNOWN,
1778418891.597136,Stable,NORMAL,SEMANTIC_SUMMARY,253.087,85,UNKNOWN,
1778418892.350643,Stable,NORMAL,FULL_ECG,754.565,88,UNKNOWN,
1778418893.095837,Stable,NORMAL,SEMANTIC_SUMMARY,252.681,91,UNKNOWN,
1778418893.59806,Stable,NORMAL,FULL_ECG,502.747,93,UNKNOWN,
1778418894.346696,Stable,NORMAL,SEMANTIC_SUMMARY,254.831,96,UNKNOWN,
1778418894.849207,Stable,NORMAL,FULL_ECG,502.299,98,UNKNOWN,
1778418895.595169,Stable,NORMAL,SEMANTIC_SUMMARY,752.391,101,UNKNOWN,
1778418896.100164,Stable,NORMAL,FULL_ECG,503.897,103,UNKNOWN,
1778418897.098197,Stable,NORMAL,SEMANTIC_SUMMARY,256.356,107,UNKNOWN,
1778418897.602523,Stable,NORMAL,FULL_ECG,507.569,109,UNKNOWN,
1778418898.345692,Stable,NORMAL,SEMANTIC_SUMMARY,253.887,112,UNKNOWN,
1778418898.854194,Stable,NORMAL,FULL_ECG,505.071,114,UNKNOWN,
1778418899.600003,Stable,CRITICAL,SEMANTIC_SUMMARY,257.455,1,UNKNOWN,
1778418900.104988,Stable,CRITICAL,SEMANTIC_CRITICAL,505.895,3,UNKNOWN,
1778418901.599847,Stable,CRITICAL,SEMANTIC_SUMMARY,256.859,9,UNKNOWN,
1778418902.100523,Stable,CRITICAL,SEMANTIC_CRITICAL,507.678,11,UNKNOWN,
1778418903.347856,Stable,CRITICAL,SEMANTIC_SUMMARY,252.716,16,UNKNOWN,
1778418904.095572,Stable,CRITICAL,SEMANTIC_CRITICAL,752.014,19,UNKNOWN,
1778418905.094706,Stable,ALERT,FULL_ECG_PRIORITY,253.118,23,UNKNOWN,
1778418906.347305,Stable,ALERT,SEMANTIC_SUMMARY,252.168,28,UNKNOWN,
1778418906.850224,Stable,ALERT,FULL_ECG_PRIORITY,502.803,30,UNKNOWN,
1778418907.596812,Stable,NORMAL,SEMANTIC_SUMMARY,255.26,33,UNKNOWN,
1778418908.102105,Stable,NORMAL,FULL_ECG,502.057,35,UNKNOWN,
1778418909.344999,Stable,NORMAL,SEMANTIC_SUMMARY,252.826,40,UNKNOWN,
1778418910.098833,Stable,NORMAL,FULL_ECG,752.84,43,UNKNOWN,
1778418910.847982,Stable,NORMAL,SEMANTIC_SUMMARY,256.079,46,UNKNOWN,
1778418911.350612,Stable,NORMAL,FULL_ECG,502.695,48,UNKNOWN,
1778418912.600223,Stable,NORMAL,SEMANTIC_SUMMARY,255.668,53,UNKNOWN,
1778418913.350164,Stable,NORMAL,FULL_ECG,753.131,56,UNKNOWN,
1778418914.852168,Stable,NORMAL,SEMANTIC_SUMMARY,255.137,62,UNKNOWN,
1778418915.356353,Stable,NORMAL,FULL_ECG,505.743,64,UNKNOWN,
1778418916.093716,Stable,CRITICAL,SEMANTIC_CRITICAL,252.042,67,UNKNOWN,
1778418916.85225,Stable,CRITICAL,SEMANTIC_SUMMARY,254.503,70,UNKNOWN,
1778418917.604123,Stable,CRITICAL,SEMANTIC_CRITICAL,756.853,73,UNKNOWN,
1778418919.347974,Stable,CRITICAL,SEMANTIC_SUMMARY,253.145,80,UNKNOWN,
1778418919.856484,Stable,CRITICAL,SEMANTIC_CRITICAL,506.689,82,UNKNOWN,
1778418921.852233,Stable,CRITICAL,SEMANTIC_SUMMARY,257.701,90,UNKNOWN,
1778418922.597501,Stable,CRITICAL,SEMANTIC_CRITICAL,753.492,93,UNKNOWN,
1778418923.104176,Stable,ALERT,FULL_ECG_PRIORITY,505.675,95,UNKNOWN,
1778418923.84786,Stable,ALERT,SEMANTIC_SUMMARY,504.664,98,UNKNOWN,
1778418924.598314,Stable,ALERT,FULL_ECG_PRIORITY,751.822,101,UNKNOWN,
1778418925.345892,Stable,NORMAL,FULL_ECG,502.619,104,UNKNOWN,
1778418926.352633,Stable,CRITICAL,SEMANTIC_SUMMARY,253.247,108,UNKNOWN,
1778418926.857145,Stable,CRITICAL,SEMANTIC_CRITICAL,506.483,1,UNKNOWN,
1778418928.104252,Stable,CRITICAL,SEMANTIC_SUMMARY,254.934,6,UNKNOWN,
1778418928.847963,Stable,CRITICAL,SEMANTIC_CRITICAL,754.344,9,UNKNOWN,
1778418930.863712,Unstable,CRITICAL,SEMANTIC_SUMMARY,264.326,1,UNKNOWN,
1778418931.608571,Stable,CRITICAL,SEMANTIC_CRITICAL,757.417,3,UNKNOWN,
1778418932.352583,Stable,CRITICAL,SEMANTIC_SUMMARY,259.548,6,UNKNOWN,
1778418933.100575,Stable,CRITICAL,SEMANTIC_CRITICAL,754.286,9,UNKNOWN,
1778418934.100851,Stable,ALERT,FULL_ECG_PRIORITY,256.879,13,UNKNOWN,
1778418934.601845,Stable,ALERT,SEMANTIC_SUMMARY,258.113,15,UNKNOWN,
1778418935.104478,Stable,ALERT,FULL_ECG_PRIORITY,253.117,17,UNKNOWN,
1778418936.100771,Stable,ALERT,SEMANTIC_SUMMARY,257.964,21,UNKNOWN,
1778418936.600776,Stable,NORMAL,FULL_ECG,505.855,23,UNKNOWN,
1778418937.594368,Stable,CRITICAL,SEMANTIC_CRITICAL,252.226,27,UNKNOWN,
1778418939.59458,Unstable,CRITICAL,SEMANTIC_SUMMARY,253.19,2,UNKNOWN,
1778418940.100754,Stable,CRITICAL,SEMANTIC_CRITICAL,504.24,2,UNKNOWN,
1778418942.34875,Stable,CRITICAL,SEMANTIC_SUMMARY,256.197,2,UNKNOWN,
1778418943.099838,Stable,CRITICAL,SEMANTIC_CRITICAL,752.9,5,UNKNOWN,
1778418944.596596,Stable,CRITICAL,SEMANTIC_SUMMARY,254.858,1,UNKNOWN,
1778418945.096793,Stable,CRITICAL,SEMANTIC_CRITICAL,502.166,3,UNKNOWN,
1778418947.350408,Unstable,CRITICAL,SEMANTIC_SUMMARY,254.799,5,UNKNOWN,
1778418948.100683,Stable,CRITICAL,SEMANTIC_CRITICAL,755.312,2,UNKNOWN,
1778418951.352261,Unstable,CRITICAL,SEMANTIC_SUMMARY,252.845,13,UNKNOWN,
1778418952.097081,Stable,CRITICAL,SEMANTIC_CRITICAL,755.011,2,UNKNOWN,
1778418953.121351,Unstable,CRITICAL,SEMANTIC_SUMMARY,276.983,4,UNKNOWN,
1778418953.848887,Stable,CRITICAL,SEMANTIC_CRITICAL,752.819,2,UNKNOWN,
1778418958.352962,Unstable,CRITICAL,SEMANTIC_SUMMARY,256.115,3,UNKNOWN,
1778418959.100505,Stable,ALERT,FULL_ECG_PRIORITY,505.227,2,UNKNOWN,
1778418959.84857,Unstable,ALERT,SEMANTIC_ALERT,756.927,3,UNKNOWN,
1778418960.35254,Stable,ALERT,FULL_ECG_PRIORITY,255.378,1,UNKNOWN,
1778418961.100674,Unstable,ALERT,SEMANTIC_ALERT,257.622,3,UNKNOWN,
1778418961.845067,Unstable,CRITICAL,SEMANTIC_CRITICAL,752.488,1,UNKNOWN,
1778418963.097873,Unstable,CRITICAL,SEMANTIC_SUMMARY,255.779,6,UNKNOWN,
1778418963.605656,Unstable,CRITICAL,SEMANTIC_CRITICAL,504.814,8,UNKNOWN,
1778418965.597617,Unstable,CRITICAL,SEMANTIC_SUMMARY,252.447,1,UNKNOWN,
1778418966.097628,Stable,CRITICAL,SEMANTIC_CRITICAL,503.893,1,UNKNOWN,
1778418970.845483,Unstable,CRITICAL,SEMANTIC_SUMMARY,252.09,3,UNKNOWN,
