timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition,predictor_source,prediction_confidence,estimated_lost_bytes,reordered_recovered_packets,receiver_overloaded,drain_max_ms,drain_avg_ms,drain_budget_hits,drain_backlog_hits
1778418854.844,0.0,0.0,0.0,0.0,0.0,0,0,Stable,insufficient_history,,0,0,0,0.0,0.0,0,0
1778418855.1,0.0,0.0,0.0,0.0,0.0,0,0,Stable,insufficient_history,,0,0,0,0.0,0.0,0,0
1778418855.344,0.0,0.0,0.0,0.0,0.0,0,0,Stable,insufficient_history,,0,0,0,0.0,0.0,0,0
1778418855.599,0.0,0.0,0.0,0.0,0.0,0,0,Stable,insufficient_history,,0,0,0,0.0,0.0,0,0
1778418855.842,0.0,0.0,0.0,0.0,0.0,0,0,Stable,insufficient_history,,0,0,0,0.0,0.0,0,0
1778418856.096,0.0,0.0,0.0,0.0,0.0,0,0,Stable,insufficient_history,,0,0,0,0.0,0.0,0,0
1778418856.349,0.0,0.0,0.0,0.0,0.0,0,0,Stable,insufficient_history,,0,0,0,0.0,0.0,0,0
1778418856.594,17524.0,17524.0,0.0,0.066608,0.247062,8,59,Stable,model,0.9999,0,0,0,0.161,0.069,0,0
1778418856.847,26636.0,26636.0,0.0,3.789833,5.282328,4,97,Stable,model,0.9993,0,0,0,0.128,0.061,0,0
1778418857.092,23040.0,23040.0,0.0,0.335818,0.38782,4,90,Stable,model,0.9995,0,0,0,0.168,0.081,0,0
1778418857.347,24576.0,24576.0,0.0,0.946013,0.680635,4,96,Stable,model,0.9998,0,0,1,0.151,0.071,0,3
1778418857.6,1792.0,1792.0,0.0,4.380533,2.997773,4,7,Stable,model,0.9995,0,0,0,0.863,0.475,0,0
1778418857.847,0.0,0.0,0.0,0.0,0.0,0,0,Stable,model,0.9997,0,0,0,0.0,0.0,0,0
1778418858.097,15104.0,15104.0,0.0,2.593376,12.342788,4,59,Stable,model,0.9991,0,0,0,0.101,0.056,0,0
1778418858.343,24320.0,24320.0,0.0,2.457232,12.154419,4,95,Stable,model,0.9998,0,0,1,0.211,0.069,0,1
1778418858.593,24576.0,24576.0,0.0,2.256639,12.642823,4,96,Stable,model,0.9998,0,0,1,0.139,0.068,0,1
1778418858.845,6892.0,6892.0,0.0,2.25498,13.13998,4,14,Stable,model,0.9997,0,0,0,0.141,0.076,0,0
1778418859.092,0.0,0.0,0.0,0.0,0.0,0,0,Stable,model,0.9991,0,0,0,0.0,0.0,0,0
1778418859.347,0.0,0.0,0.0,0.0,0.0,0,0,Stable,model,0.9998,0,0,0,0.0,0.0,0,0
1778418859.591,15104.0,15104.0,0.0,2.488173,12.50596,4,59,Stable,model,0.9996,0,0,0,0.239,0.078,0,0
1778418859.844,24832.0,24832.0,0.0,2.311724,12.449636,4,97,Stable,model,0.9999,0,0,1,0.271,0.062,0,1
1778418860.092,24320.0,24064.0,0.010526,2.915892,12.544153,4,95,Stable,model,0.9999,64,0,1,9.288,0.164,0,1
1778418860.35,1792.0,1792.0,0.0,1.605681,13.141666,4,7,Stable,model,0.9998,0,0,0,0.081,0.067,0,0
1778418860.593,0.0,0.0,0.0,0.0,0.0,0,0,Stable,model,0.9993,0,0,0,0.0,0.0,0,0
1778418860.847,16640.0,16640.0,0.0,2.660157,12.64373,4,65,Stable,model,0.9988,0,0,0,0.202,0.072,0,0
1778418861.092,23808.0,23552.0,0.010753,2.232406,12.43235,4,93,Stable,model,0.9998,64,0,0,0.306,0.09,0,0
1778418861.343,24576.0,24576.0,0.0,2.403195,12.781943,4,96,Stable,model,0.9999,0,0,1,0.15,0.062,0,1
1778418861.594,3584.0,3584.0,0.0,3.948671,13.590676,4,14,Stable,model,0.9996,0,0,0,0.086,0.064,0,0
1778418861.851,0.0,0.0,0.0,0.0,0.0,0,0,Stable,model,0.9985,0,0,0,0.0,0.0,0,0
1778418862.093,14080.0,14080.0,0.0,2.212195,12.175443,4,55,Stable,model,0.9987,0,0,0,0.134,0.059,0,0
