[WARD] PatientFusionEncoder available=False
[WARD] Listening on 0.0.0.0:5006
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=251.9ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=254.8ms, windows=10, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=507.1ms, windows=12, debounce=2)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=505.9ms, windows=15, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=757.7ms, windows=18, debounce=3)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=502.6ms, windows=21, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=504.8ms, windows=23, debounce=2)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=257.5ms, windows=26, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=508.0ms, windows=28, debounce=2)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=252.5ms, windows=33, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=507.9ms, windows=35, debounce=2)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=258.5ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=756.4ms, windows=3, debounce=3)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=753.0ms, windows=6, debounce=3)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=505.6ms, windows=8, debounce=2)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=266.9ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=255.8ms, windows=3, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=259.1ms, windows=7, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=754.5ms, windows=10, debounce=3)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=265.8ms, windows=18, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=757.4ms, windows=21, debounce=3)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.6ms, windows=25, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=505.9ms, windows=27, debounce=2)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=256.2ms, windows=30, debounce=1)
[WARD CMD] Stable/ALERT -> SEMANTIC_SUMMARY (latency=252.0ms, windows=33, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=503.4ms, windows=35, debounce=2)
[WARD CMD] Stable/ALERT -> SEMANTIC_SUMMARY (latency=505.9ms, windows=38, debounce=2)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=760.0ms, windows=41, debounce=3)
