step,phase,loss_pct,delay_ms,jitter_ms,sleep_s
0,Phase 1 — Morning stable (quiet ward),0.3,12.0,2.0,5
1,Phase 1 — Morning stable (quiet ward),0.3,12.0,2.0,5
2,Phase 1 — Morning stable (quiet ward),0.3,12.0,2.0,5
3,Phase 1 — Morning stable (quiet ward),0.278,11.7,1.8,8
4,Phase 1 — Morning stable (quiet ward),0.318,12.7,2.0,8
5,Phase 1 — Morning stable (quiet ward),0.319,11.5,2.0,8
6,Phase 1 — Morning stable (quiet ward),0.278,11.6,1.9,8
7,Phase 1 — Morning stable (quiet ward),0.289,12.5,2.1,8
8,Phase 1 — Morning stable (quiet ward),0.287,11.8,2.0,8
9,Phase 1 — Morning stable (quiet ward),0.312,12.2,2.1,8
10,Phase 1 — Morning stable (quiet ward),0.279,12.3,2.1,8
11,Phase 2 — Gradual degradation (shift change),0.77,17.8,3.2,4
12,Phase 2 — Gradual degradation (shift change),1.24,23.6,4.4,4
13,Phase 2 — Gradual degradation (shift change),1.71,29.4,5.6,4
14,Phase 2 — Gradual degradation (shift change),2.18,35.2,6.8,4
15,Phase 2 — Gradual degradation (shift change),2.65,41.0,8.0,4
16,Phase 2 — Gradual degradation (shift change),3.12,46.8,9.2,4
17,Phase 2 — Gradual degradation (shift change),3.59,52.6,10.4,4
18,Phase 2 — Gradual degradation (shift change),4.06,58.4,11.6,4
19,Phase 2 — Gradual degradation (shift change),4.53,64.2,12.8,4
20,Phase 2 — Gradual degradation (shift change),5.0,70.0,14.0,4
21,Phase 2 — Gradual degradation (shift change),4.899,74.6,15.0,8
22,Phase 2 — Gradual degradation (shift change),4.872,68.4,15.2,8
23,Phase 2 — Gradual degradation (shift change),5.181,69.6,12.8,8
24,Phase 2 — Gradual degradation (shift change),5.354,72.1,14.7,8
25,Phase 2 — Gradual degradation (shift change),5.246,69.3,14.9,8
26,Phase 3 — Brief partial recovery,4.4,63.0,12.6,4
27,Phase 3 — Brief partial recovery,3.8,56.0,11.2,4
28,Phase 3 — Brief partial recovery,3.2,49.0,9.8,4
29,Phase 3 — Brief partial recovery,2.6,42.0,8.4,4
30,Phase 3 — Brief partial recovery,2.0,35.0,7.0,4
31,Phase 3 — Brief partial recovery,2.025,37.4,7.3,8
32,Phase 3 — Brief partial recovery,1.998,36.5,7.5,8
33,Phase 4 — Escalation to critical (busy hour),3.2,51.5,11.8,5
34,Phase 4 — Escalation to critical (busy hour),4.4,68.0,16.6,5
35,Phase 4 — Escalation to critical (busy hour),5.6,84.5,21.4,5
36,Phase 4 — Escalation to critical (busy hour),6.8,101.0,26.2,5
37,Phase 4 — Escalation to critical (busy hour),8.0,117.5,31.0,5
38,Phase 4 — Escalation to critical (busy hour),9.2,134.0,35.8,5
39,Phase 4 — Escalation to critical (busy hour),10.4,150.5,40.6,5
40,Phase 4 — Escalation to critical (busy hour),11.6,167.0,45.4,5
41,Phase 4 — Escalation to critical (busy hour),12.8,183.5,50.2,5
42,Phase 4 — Escalation to critical (busy hour),14.0,200.0,55.0,5
43,Phase 4 — Escalation to critical (busy hour),14.986,205.2,50.9,8
44,Phase 4 — Escalation to critical (busy hour),13.331,189.7,50.5,8
