timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,queue_length,network_condition
1771342915,60.0,60.0,0.0,0.0,0,Critical
1771342915,2324.0,2324.0,0.208,0.00026,10,Critical
1771342916,2280.0,2280.0,0.229,0.000103,21,Critical
1771342916,2092.0,2092.0,0.312,8.5e-05,36,Critical
1771342917,2156.0,2156.0,0.292,0.00012,50,Critical
1771342918,2406.0,2406.0,0.224,8.2e-05,61,Critical
1771342918,2534.0,2534.0,0.167,0.000104,69,Critical
1771342919,2234.0,2234.0,0.271,0.000292,82,Critical
1771342919,2336.0,2336.0,0.229,0.000134,93,Critical
1771342920,2342.0,2342.0,0.229,0.000213,104,Critical
1771342920,2610.0,2610.0,0.146,0.000175,111,Critical
1771342921,2482.0,2482.0,0.188,0.00023,120,Critical
1771342921,2662.0,2662.0,0.125,0.000192,126,Critical
1771342922,2670.0,2670.0,0.106,0.00027,131,Critical
1771342922,2276.0,2276.0,0.25,0.000212,143,Critical
1771342923,2292.0,2292.0,0.25,0.000183,155,Critical
1771342923,2530.0,2530.0,0.184,0.000158,164,Critical
1771342924,2286.0,2286.0,0.234,0.000306,175,Critical
1771342924,2280.0,2280.0,0.234,0.000219,186,Critical
1771342925,2158.0,2158.0,0.277,0.000267,199,Critical
1771342925,2518.0,2518.0,0.149,0.000301,206,Critical
1771342926,2234.0,2234.0,0.271,0.000343,219,Critical
1771342926,2626.0,2626.0,0.167,0.000191,227,Critical
1771342927,2414.0,2414.0,0.229,0.000282,238,Critical
1771342927,2628.0,2628.0,0.184,0.000209,247,Critical
1771342928,10336.0,10336.0,0.186,0.020031,283,Critical
1771342928,2556.0,2556.0,0.17,0.00018,291,Critical
1771342929,2690.0,2690.0,0.146,0.000111,298,Critical
1771342929,2684.0,2684.0,0.196,0.000128,308,Critical
1771342930,2484.0,2484.0,0.208,6.1e-05,318,Critical
1771342930,2488.0,2488.0,0.208,8.3e-05,328,Critical
1771342931,2162.0,2162.0,0.327,8.9e-05,344,Critical
1771342931,2230.0,2230.0,0.306,0.000106,359,Critical
1771342932,2618.0,2618.0,0.167,0.000251,367,Critical
1771342932,2360.0,2360.0,0.25,0.000301,379,Critical
1771342933,2628.0,2628.0,0.167,0.000248,387,Critical
1771342933,2576.0,2576.0,0.17,0.000192,395,Critical
1771342934,2504.0,2504.0,0.213,0.000197,405,Critical
1771342934,2616.0,2616.0,0.191,0.000297,414,Critical
1771342935,2476.0,2476.0,0.234,0.000264,425,Critical
1771342935,2444.0,2444.0,0.234,0.000206,436,Critical
1771342936,2664.0,2664.0,0.17,0.000209,444,Critical
1771342936,2656.0,2656.0,0.188,0.000196,453,Critical
1771342937,2454.0,2454.0,0.25,0.000176,465,Critical
1771342937,2736.0,2736.0,0.167,0.000125,473,Critical
1771342938,2482.0,2482.0,0.25,0.000197,485,Critical
1771342938,2286.0,2286.0,0.277,0.000228,498,Critical
1771342939,2354.0,2354.0,0.234,0.000254,509,Critical
1771342939,2430.0,2430.0,0.26,0.000203,522,Critical
1771342940,2820.0,2820.0,0.104,0.000284,527,Critical
1771342940,2354.0,2354.0,0.234,0.000317,538,Critical
1771342941,2034.0,2034.0,0.34,0.000374,554,Critical
1771342941,2344.0,2344.0,0.234,0.000362,565,Critical
1771342942,2552.0,2552.0,0.188,0.000206,574,Critical
1771342942,2492.0,2492.0,0.208,0.000136,584,Critical
1771342943,2888.0,2888.0,0.102,0.000146,589,Critical
1771342943,2542.0,2542.0,0.188,0.000131,598,Critical
1771342944,2560.0,2560.0,0.188,0.000169,607,Critical
1771342944,2554.0,2554.0,0.204,0.000214,617,Critical
1771342945,2734.0,2734.0,0.106,0.000265,622,Critical
1771342945,2482.0,2482.0,0.191,0.000222,631,Critical
1771342946,1962.0,1962.0,0.375,0.000257,649,Critical
1771342946,2608.0,2608.0,0.167,0.000214,657,Critical
1771342947,2560.0,2560.0,0.188,0.000224,666,Critical
1771342948,2354.0,2354.0,0.28,0.000183,680,Critical
1771342948,2298.0,2298.0,0.271,0.000216,693,Critical
1771342949,2356.0,2356.0,0.25,0.000263,705,Critical
1771342949,2496.0,2496.0,0.191,0.00036,714,Critical
1771342950,2478.0,2478.0,0.191,0.000325,723,Critical
1771342950,2618.0,2618.0,0.167,0.000244,731,Critical
1771342951,2640.0,2640.0,0.149,0.000259,738,Critical
1771342951,2602.0,2602.0,0.191,0.000201,747,Critical
1771342952,2700.0,2700.0,0.17,0.000223,755,Critical
1771342952,2664.0,2664.0,0.188,0.000235,764,Critical
1771342953,2762.0,2762.0,0.149,0.000264,771,Critical
1771342953,2360.0,2360.0,0.271,0.000163,784,Critical
1771342954,2246.0,2246.0,0.312,0.000359,799,Critical
1771342954,2740.0,2740.0,0.167,0.000221,807,Critical
