timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,queue_length,network_condition
1771342856,60.0,60.0,0.0,0.0,0,Unstable
1771342856,2934.0,2934.0,0.0,0.000395,0,Unstable
1771342857,2692.0,2692.0,0.064,0.000193,3,Unstable
1771342857,2788.0,2788.0,0.064,0.000159,6,Unstable
1771342858,2804.0,2804.0,0.064,0.000221,9,Unstable
1771342858,2866.0,2866.0,0.043,0.000165,11,Unstable
1771342859,2798.0,2798.0,0.083,0.000146,15,Unstable
1771342859,2916.0,2916.0,0.042,0.000224,17,Unstable
1771342860,2736.0,2736.0,0.085,0.000196,21,Unstable
1771342860,2790.0,2790.0,0.083,0.00021,25,Unstable
1771342861,2992.0,2992.0,0.042,0.000168,27,Unstable
1771342861,2784.0,2784.0,0.125,0.000178,33,Unstable
1771342862,3100.0,3100.0,0.021,0.000146,34,Unstable
1771342862,3056.0,3056.0,0.021,0.00012,35,Unstable
1771342863,2850.0,2850.0,0.104,0.000151,40,Unstable
1771342863,2964.0,2964.0,0.064,0.000166,43,Unstable
1771342864,2912.0,2912.0,0.064,0.000182,46,Unstable
1771342864,3062.0,3062.0,0.021,0.000169,47,Unstable
1771342865,3028.0,3028.0,0.042,0.000136,49,Unstable
1771342865,3164.0,3164.0,0.021,0.000187,50,Unstable
1771342866,12320.0,12320.0,0.066,0.017538,63,Unstable
1771342866,2940.0,2940.0,0.062,0.000169,66,Unstable
1771342867,3080.0,3080.0,0.021,0.000158,67,Unstable
1771342867,2792.0,2792.0,0.104,0.000153,72,Unstable
1771342868,3070.0,3070.0,0.021,0.000125,73,Unstable
1771342868,3068.0,3068.0,0.041,0.000119,75,Unstable
1771342869,3010.0,3010.0,0.042,0.000176,77,Unstable
1771342869,2882.0,2882.0,0.083,0.000188,81,Unstable
1771342870,3092.0,3092.0,0.042,0.000202,83,Unstable
1771342870,2956.0,2956.0,0.104,0.000224,88,Unstable
1771342871,3126.0,3126.0,0.042,0.000174,90,Unstable
1771342871,2996.0,2996.0,0.064,0.000154,93,Unstable
1771342872,3046.0,3046.0,0.062,0.000143,96,Unstable
1771342873,3188.0,3188.0,0.021,0.000156,97,Unstable
1771342873,3142.0,3142.0,0.042,0.000126,99,Unstable
1771342874,3076.0,3076.0,0.043,0.000136,101,Unstable
1771342874,3118.0,3118.0,0.062,0.000105,104,Unstable
1771342875,3058.0,3058.0,0.043,0.000173,106,Unstable
1771342875,2754.0,2754.0,0.128,0.000149,112,Unstable
1771342876,3016.0,3016.0,0.021,0.000188,113,Unstable
1771342876,2890.0,2890.0,0.064,0.000189,116,Unstable
1771342877,2942.0,2942.0,0.043,0.000177,118,Unstable
1771342877,2940.0,2940.0,0.062,0.000182,121,Unstable
1771342878,2814.0,2814.0,0.104,0.000121,126,Unstable
1771342878,2884.0,2884.0,0.064,0.000178,129,Unstable
1771342879,3010.0,3010.0,0.021,0.000146,130,Unstable
1771342879,3006.0,3006.0,0.042,0.000173,132,Unstable
1771342880,2808.0,2808.0,0.085,0.000195,136,Unstable
1771342880,3004.0,3004.0,0.021,0.000175,137,Unstable
1771342881,3054.0,3054.0,0.021,0.000157,138,Unstable
1771342881,3014.0,3014.0,0.021,0.000233,139,Unstable
1771342882,3076.0,3076.0,0.021,0.000181,140,Unstable
1771342882,2874.0,2874.0,0.083,0.000165,144,Unstable
1771342883,3150.0,3150.0,0.0,0.000229,144,Unstable
1771342883,2880.0,2880.0,0.064,0.000226,147,Unstable
1771342884,2944.0,2944.0,0.043,0.000229,149,Unstable
1771342884,2884.0,2884.0,0.064,0.000213,152,Unstable
1771342885,2934.0,2934.0,0.043,0.000192,154,Unstable
1771342885,2888.0,2888.0,0.064,0.000211,157,Unstable
1771342886,3082.0,3082.0,0.0,0.000184,157,Unstable
1771342886,2882.0,2882.0,0.064,0.000186,160,Unstable
1771342887,2886.0,2886.0,0.083,0.000185,164,Unstable
1771342887,3016.0,3016.0,0.021,0.000216,165,Unstable
1771342888,2882.0,2882.0,0.064,0.000194,168,Unstable
1771342888,2866.0,2866.0,0.064,0.000242,171,Unstable
1771342889,2944.0,2944.0,0.043,0.00015,173,Unstable
1771342889,2946.0,2946.0,0.043,0.00029,175,Unstable
1771342890,2810.0,2810.0,0.065,0.000232,178,Unstable
1771342890,2882.0,2882.0,0.064,0.000205,181,Unstable
1771342891,3020.0,3020.0,0.042,0.000176,183,Unstable
1771342891,2882.0,2882.0,0.064,0.000204,186,Unstable
1771342892,2946.0,2946.0,0.043,0.000222,188,Unstable
1771342892,2948.0,2948.0,0.062,0.000243,191,Unstable
1771342893,2818.0,2818.0,0.085,0.000206,195,Unstable
1771342893,2938.0,2938.0,0.043,0.000226,197,Unstable
1771342894,2876.0,2876.0,0.064,0.000262,200,Unstable
1771342894,2954.0,2954.0,0.043,0.000204,202,Unstable
1771342895,2944.0,2944.0,0.022,0.000218,203,Unstable
1771342895,3022.0,3022.0,0.042,0.000125,205,Unstable
1771342896,2944.0,2944.0,0.043,0.000213,207,Unstable
1771342896,3010.0,3010.0,0.021,0.000285,208,Unstable
1771342897,11850.0,11850.0,0.062,0.017449,220,Unstable
1771342897,3078.0,3078.0,0.0,0.000214,220,Unstable
1771342898,3078.0,3078.0,0.021,0.000153,221,Unstable
1771342898,3136.0,3136.0,0.042,0.000154,223,Unstable
1771342899,3126.0,3126.0,0.021,0.000168,224,Unstable
1771342899,3076.0,3076.0,0.043,0.000188,226,Unstable
